"","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"1","Distance",1496.09222689825,1496.5366713427,0.187468772501163,1.671,0.000495017741213256,-746.046113449127,1.13934689058612,634,63.4,2
"2","agric",1496.57793432902,1497.5010112521,0.131064390679837,2.792,0.028644495496901,-745.28896716451,1.13919710823581,289,28.9,3
"3","opend",1497.97252955213,1498.89560647521,0.0596431868027769,5.782,0.00183716428852677,-745.986264776065,1.13907717628383,19,1.9,3
"4","fixed",1498.03962891367,1498.96270583675,0.0574907941871501,6.111,0.000862251097875316,-746.019814456835,1.13917895791248,14,1.4,3
"5","water",1498.09242127416,1499.01549819723,0.0542801773218678,6.31,0.000494831737637825,-746.046210637079,1.1393472326735,0,0,3
"6","scrub",1498.09478315814,1499.01786008122,0.0541626223972597,6.332,0.000496536553963035,-746.047391579071,1.13935292120802,0,0,3
"7","urban",1498.09395008996,1499.01702701303,0.0542293836590427,6.399,0.000494964164145625,-746.046975044978,1.13934943646197,0,0,3
"8","water.agric",1497.79793281232,1499.39793281232,0.0566582208731459,6.973,0.0330460609882929,-744.898966406158,1.13857872355197,43,4.3,4
"9","agric.scrub",1498.57703977075,1500.17703977075,0.0340095201418909,9.658,0.0160973420516934,-745.288519885373,1.13860103717717,0,0,4
"10","urban.agric",1499.50522220019,1501.10522220019,0.0196614346651896,13.442,0.00423022527446178,-745.752611100096,1.13935337397278,0,0,4
"11","agric.fixed",1499.93409973751,1501.53409973751,0.0160869749613189,16.401,0.00102685456540084,-745.967049868757,1.13910112963664,0,0,4
"12","urban.scrub",1499.98582740723,1501.58582740722,0.0152945593289543,17.339,0.000962922324424858,-745.992913703613,1.13937552169131,0,0,4
"13","agric.opend",1499.97252850038,1501.57252850038,0.0156413511736932,17.411,0.00183714609876595,-745.986264250191,1.13907717427448,0,0,4
"14","urban.opend",1499.97253250431,1501.57253250431,0.0156412450621958,17.444,0.00183698151932621,-745.986266252155,1.13907718610422,0,0,4
"15","fixed.opend",1499.97250960505,1501.57250960505,0.0156407135715621,17.489,0.00183424477042115,-745.986254802524,1.1390772972863,0,0,4
