"","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"1","Distance",1496.63668846088,1497.08113290532,0.190494346718303,1.587,0.000550315495328893,-746.318344230439,1.14019737976866,628,62.8,2
"2","agric",1497.2319817014,1498.15505862448,0.129310655826532,3.018,0.0278650320212891,-745.6159908507,1.14015178847283,269,26.9,3
"3","opend",1498.5177193844,1499.44079630748,0.0606369241404419,5.72,0.00198309086131497,-746.2588596922,1.13993497350468,25,2.5,3
"4","fixed",1498.58981288358,1499.51288980665,0.0583831285349058,5.892,0.000959831200081008,-746.294906441789,1.14005671541091,14,1.4,3
"5","water",1498.63688343842,1499.5599603615,0.0551561969310512,6.377,0.000550134475844311,-746.318441719212,1.14019775222336,0,0,3
"6","scrub",1498.63975030444,1499.56282722751,0.0550258152393057,6.379,0.000552043282902262,-746.319875152218,1.14020434845335,0,0,3
"7","urban",1498.63876613692,1499.56184306,0.0550933101794161,6.462,0.000550160571376268,-746.319383068461,1.14020038375392,0,0,3
"8","agric.water",1498.43385005882,1500.03385005882,0.0527512169234666,6.743,0.022475219908417,-745.216925029409,1.13922776022016,62,6.2,4
"9","scrub.agric",1499.40905852806,1501.00905852806,0.0294746588215621,10.634,0.0104145959746925,-745.704529264028,1.13933825988049,0,0,4
"10","agric.urban",1500.17114428701,1501.77114428701,0.0189378181879673,14.326,0.0036702432667486,-746.085572143503,1.14030043017481,1,0.1,4
"11","fixed.agric",1500.25745307592,1501.85745307592,0.0187816263612895,14.826,0.00228425919376278,-746.128726537961,1.13996785169902,1,0.1,4
"12","opend.scrub",1500.51757625256,1502.11757625255,0.0159031709127674,17.023,0.00198334862990443,-746.258788126278,1.13993473456622,0,0,4
"13","opend.urban",1500.51771953294,1502.11771953294,0.0159019468443201,17.228,0.00198307437665458,-746.25885976647,1.13993497311989,0,0,4
"14","opend.fixed",1500.51774465064,1502.11774465064,0.0159003807402829,17.323,0.00197977664191013,-746.258872325321,1.13993518772527,0,0,4
"15","opend.water",1500.51773050764,1502.11773050764,0.0159018142201723,17.357,0.0019830189578389,-746.258865253818,1.13993499198433,0,0,4
"16","opend.agric",1500.51773485689,1502.11773485689,0.0159015538975939,17.365,0.00198258343330314,-746.258867428446,1.13993501653616,0,0,4
"17","fixed.scrub",1500.58399056197,1502.18399056197,0.0153572884699727,17.414,0.000995004749574507,-746.291995280985,1.14005095450312,0,0,4
"18","fixed.urban",1500.58924146294,1502.18924146294,0.0153151320691857,17.699,0.000960372651612682,-746.294620731468,1.14005582116219,0,0,4
"19","scrub.urban",1500.58744969983,1502.18744969983,0.0150907661964301,17.792,0.000951275190781017,-746.293724849916,1.14030721564639,0,0,4
"20","fixed.water",1500.58980338119,1502.18980338119,0.0153109754998858,17.882,0.000959839186110648,-746.294901690596,1.14005669744594,0,0,4
"21","scrub.water",1500.6414531037,1502.2414531037,0.0144158441294056,18.576,0.000552789557301816,-746.320726551849,1.14020651095645,0,0,4
"22","water.urban",1500.63919829932,1502.23919829932,0.0144437953686215,18.586,0.000549870721416899,-746.319599149659,1.14020156352375,0,0,4
"23","agric.water.urban",1501.09822266245,1503.59822266245,0.00834131618548905,22.418,0.0106409954061767,-745.549111331224,1.13932360160076,0,0,5
"24","scrub.agric.water",1501.38275798482,1503.88275798482,0.00700579631389756,24.941,0.00982102657172488,-745.69137899241,1.13922845881049,0,0,5
"25","opend.scrub.agric",1501.49458223724,1503.99458223724,0.00664122304321087,25.777,0.00737603708328774,-745.74729111862,1.13941228448589,0,0,5
"26","fixed.agric.water",1501.57396703823,1504.07396703823,0.00701292391488755,26.026,0.00396537705452161,-745.786983519113,1.13906244119789,0,0,5
"27","fixed.scrub.agric",1501.95818941058,1504.45818941058,0.00522428025048027,29.484,0.00266707802651808,-745.979094705291,1.13940789379638,0,0,5
"28","fixed.agric.urban",1502.29665090248,1504.79665090248,0.00434564039543927,32.246,0.00129278231085416,-746.148325451241,1.13984277216876,0,0,5
"29","scrub.agric.urban",1502.33275761589,1504.83275761589,0.0040753869214791,32.565,0.00198753503526449,-746.166378807944,1.14018149424881,0,0,5
"30","opend.scrub.urban",1502.51725499653,1505.01725499653,0.00373042549668597,34.86,0.00198284968996801,-746.258627498266,1.13993413675106,0,0,5
"31","opend.scrub.water",1502.51761814363,1505.01761814363,0.00373022228792206,34.937,0.00198296807408962,-746.258809071817,1.13993480252291,0,0,5
"32","opend.scrub.agric.water",1502.53980619444,1506.19198010748,0.00254318209099601,35.004,0.0092208313408972,-745.269903097219,1.13834873786641,0,0,6
"33","opend.agric.urban",1502.51772045976,1505.01772045976,0.00373010152911469,35.025,0.00198297956292078,-746.258860229879,1.13993497041102,0,0,5
"34","opend.fixed.agric",1502.53106281997,1505.03106281997,0.00374234380666827,35.093,0.000663347906762069,-746.265531409984,1.14003236964734,0,0,5
"35","opend.agric.water",1502.51773534015,1505.01773534015,0.00373006674687491,35.133,0.00198288905179923,-746.258867670077,1.13993500409337,0,0,5
"36","opend.fixed.water",1502.51775913153,1505.01775913153,0.00372970645757088,35.151,0.00197965195006769,-746.258879565767,1.13993521410531,0,0,5
"37","opend.water.urban",1502.51773932377,1505.01773932377,0.00373002536094694,35.18,0.00198261772921272,-746.258869661886,1.13993502040619,0,0,5
"38","fixed.scrub.urban",1502.5566624394,1505.0566624394,0.00364811949875705,35.243,0.000930627685390757,-746.278331219701,1.1399964626788,0,0,5
"39","opend.fixed.scrub",1502.54623594113,1505.04623594113,0.0036562213165017,35.249,0.000845531149957025,-746.273117970565,1.13997242779396,0,0,5
"40","opend.fixed.urban",1502.56922852635,1505.06922852635,0.00359303652683893,35.522,0.000690252277978575,-746.284614263177,1.14002790584072,0,0,5
"41","scrub.water.urban",1502.59170019807,1505.09170019807,0.00352923967402659,35.535,0.000940652267175402,-746.295850099033,1.14031091752667,0,0,5
"42","fixed.scrub.water",1502.58417855415,1505.08417855415,0.00360222005942836,35.679,0.000992705680501761,-746.292089277075,1.14005108731278,0,0,5
"43","fixed.water.urban",1502.58922333058,1505.08922333058,0.00359249760774457,35.909,0.000960368780446132,-746.294611665291,1.14005580902492,0,0,5
"44","fixed.scrub.agric.water",1503.28993435563,1506.94210826867,0.00157710678227527,41.433,0.00500049311163223,-745.644967177814,1.13884027788205,0,0,6
"45","fixed.agric.water.urban",1503.35292344064,1507.00509735369,0.00157546515690207,41.821,0.00497312480508655,-745.676461720322,1.13889646734162,0,0,6
"46","scrub.agric.water.urban",1504.32679007302,1507.97896398606,0.000851403155188709,49.274,0.0017629039838513,-746.163395036509,1.14003115548434,0,0,6
"47","opend.agric.water.urban",1504.33630810885,1507.9884820219,0.000843350503560627,49.865,0.00154051314820633,-746.168154054426,1.14027394658479,0,0,6
"48","opend.scrub.agric.urban",1504.40178955022,1508.05396346326,0.000810925590288122,50.046,0.00146141760670896,-746.20089477511,1.14012976148301,0,0,6
"49","fixed.scrub.agric.urban",1504.46867244639,1508.12084635943,0.000778486388262936,50.718,0.00123607833692415,-746.234336223195,1.14013654131601,0,0,6
"50","opend.fixed.scrub.agric",1504.53222110299,1508.18439501604,0.000773551542858844,50.93,0.000628834056155154,-746.266110551496,1.14003786869782,0,0,6
"51","opend.fixed.agric.urban",1504.53238156894,1508.18455548198,0.00077352999273135,50.958,0.000627385224887656,-746.266190784468,1.14003843317526,0,0,6
"52","opend.fixed.agric.water",1504.53238800875,1508.18456192179,0.000773609066951687,50.986,0.00062575616089136,-746.266194004376,1.14003881629209,0,0,6
"53","fixed.scrub.water.urban",1504.50159269558,1508.15376660862,0.000776275305551129,51.123,0.000890093048671229,-746.250796347788,1.139965594395,0,0,6
"54","opend.scrub.water.urban",1504.51734432191,1508.16951823495,0.000771298799269133,51.288,0.00198118292825107,-746.258672160955,1.13993432098205,0,0,6
"55","opend.fixed.scrub.water",1504.53872487681,1508.19089878986,0.000755621276034852,51.462,0.00167910959950769,-746.269362438406,1.13998479210432,0,0,6
"56","opend.fixed.scrub.urban",1504.56914699168,1508.22132090472,0.00073570408485018,51.511,0.000588897313467032,-746.284573495841,1.14008970553809,0,0,6
"57","opend.fixed.water.urban",1504.60125368886,1508.25342760191,0.00073176028751833,51.871,0.000717896080212758,-746.300626844431,1.14008312585841,0,0,6
"58","fixed.scrub.agric.water.urban",1506.04385528865,1511.13476437956,0.000176912464698288,58.988,0.00256872590596111,-746.021927644325,1.13971129821072,0,0,7
"59","opend.fixed.scrub.agric.water.urban",1506.10564384121,1511.19655293212,0.00017236134769654,59.53,0.00225547362255116,-746.052821920607,1.13972765388265,0,0,7
"60","opend.scrub.agric.water.urban",1506.26087853159,1511.3517876225,0.000157530380001453,60.337,0.00186020904249124,-746.130439265796,1.13997603722931,0,0,7
"61","opend.fixed.scrub.agric.urban",1506.53380804329,1511.6247171342,0.000138432896941985,60.979,0.000624105706310456,-746.266904021646,1.14004096484057,0,0,7
"62","opend.fixed.agric.water.urban",1506.53809470756,1511.62900379847,0.000137802497031815,61.12,0.000618718140132062,-746.269047353779,1.14004685905601,0,0,7
"63","opend.fixed.scrub.agric.water",1506.54602368317,1511.63693277407,0.000135856027352103,61.138,0.000610008917623167,-746.273011841583,1.14006138881115,0,0,7
"64","opend.fixed.scrub.water.urban",1506.57994457151,1511.67085366242,0.000130674756194377,61.436,0.000590261724313739,-746.289972285753,1.14008805466579,0,0,7
