"","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"1","fixed",9930.62997137348,9930.95429569781,0.103942851979216,2.222,0.000894190598075479,-4962.31498568674,1.17460179203249,474,47.4,3
"2","Distance",9930.88733796392,9931.04733796392,0.0925671889904417,2.709,0.000188791969806268,-4963.44366898196,1.17503635923517,399,39.9,2
"3","fixed.opend",9932.58539252016,9933.13333772564,0.0350990137196745,8.211,0.000983715475001157,-4962.29269626008,1.17459170159119,0,0,4
"4","beach.fixed",9932.62997137348,9933.17791657896,0.034193337232779,8.299,0.000894190598075479,-4962.31498568674,1.17460179203249,0,0,4
"5","opend",9932.58503142952,9932.90935575385,0.0448354745542562,8.838,0.00119440704268889,-4963.29251571476,1.17497918575164,100,10,3
"6","agric",9932.88733796392,9933.21166228825,0.0313675081897769,8.898,0.000188791969806268,-4963.44366898196,1.17503635923517,0,0,3
"7","beach",9932.88733796392,9933.21166228825,0.0313675081897769,8.898,0.000188791969806268,-4963.44366898196,1.17503635923517,0,0,3
"8","water.fixed",9932.64690594329,9933.19485114877,0.0338358378070698,9.045,0.000883102402381206,-4962.32345297164,1.17460500719766,0,0,4
"9","water",9932.90346400761,9933.22778833193,0.0311556873209416,9.483,0.000186073625588665,-4963.4517320038,1.17503981181551,0,0,3
"10","agric.fixed",9933.50415819441,9934.05210339989,0.021040644510983,13.944,0.000474673206724744,-4962.7520790972,1.17476873687436,0,0,4
"11","scrub",9933.51988208237,9933.84420640669,0.0253659227970478,13.975,0.000130883495244721,-4963.75994104118,1.17517427478671,0,0,3
"12","urban",9933.41217549261,9933.73649981693,0.0302392075843143,14.207,0.000156868337584088,-4963.7060877463,1.17514807020512,13,1.3,3
"13","urban.fixed",9933.60622262121,9934.15416782669,0.0195136352471041,14.52,0.000590227175727322,-4962.8031113106,1.1747958564704,0,0,4
"14","beach.opend",9934.23428153459,9934.78222674006,0.0160294175646681,19.464,0.00109686863790104,-4963.11714076729,1.17490145101828,0,0,4
"15","water.opend",9934.2663112713,9934.81425647678,0.0161384437273893,19.975,0.00115214197035292,-4963.13315563565,1.17490904442216,0,0,4
"16","agric.opend",9934.33322181169,9934.88116701717,0.0159832989803857,21.155,0.00120235340793038,-4963.16661090585,1.17492374179366,0,0,4
"17","urban.opend",9934.5215114109,9935.06945661638,0.0152903753187593,23.649,0.00124123932015754,-4963.26075570545,1.17496439429075,0,0,4
"18","scrub.opend",9934.65915838086,9935.20710358634,0.0136329677609194,24.824,0.000996968787967981,-4963.32957919043,1.17500145449903,0,0,4
"19","agric.beach",9934.88733796392,9935.4352831694,0.0103187450148032,26.044,0.000188791969828212,-4963.44366898196,1.17503635923532,0,0,4
"20","water.scrub.fixed",9934.61250780405,9935.44584113738,0.0114542063392884,26.343,0.000747783694669149,-4962.30625390202,1.17459549655728,0,0,5
"21","beach.scrub",9934.88733796715,9935.43528317263,0.0103187449971514,26.401,0.000188791969638645,-4963.44366898358,1.17503635923637,0,0,4
"22","water.beach.fixed",9934.69006708692,9935.52340042025,0.0105106435664896,26.439,0.000855696166404133,-4962.34503354346,1.17461320667734,0,0,5
"23","agric.scrub",9934.8873379683,9935.43528317378,0.0103187449908783,26.761,0.000188791968842506,-4963.44366898415,1.17503635923535,0,0,4
"24","beach.fixed.opend",9934.72288597407,9935.5562193074,0.0102637098017402,26.773,0.000986216956217905,-4962.36144298703,1.17461692972376,0,0,5
"25","urban.agric",9934.8908083749,9935.43875358037,0.0103211228585145,27.024,0.000188383216169891,-4963.44540418745,1.17503676849431,0,0,4
"26","urban.beach",9934.89514140579,9935.44308661127,0.0103075777432634,27.475,0.000187883083924822,-4963.4475707029,1.17503753260129,0,0,4
"27","water.agric.fixed",9934.7392077836,9935.57254111694,0.010206190570341,27.668,0.000826610566472997,-4962.3696038918,1.17462257007021,0,0,5
"28","water.agric",9934.90346400761,9935.45140921309,0.0102490638172694,27.851,0.000186073625588665,-4963.4517320038,1.17503981181551,0,0,4
"29","water.beach",9934.90346400761,9935.45140921309,0.0102490638172694,27.851,0.000186073625588665,-4963.4517320038,1.17503981181551,0,0,4
"30","scrub.fixed",9934.78476971224,9935.33271491772,0.0158181592866156,28.216,0.00231592471331434,-4963.39238485612,1.17508713682564,8,0.8,4
"31","water.scrub",9934.90346400855,9935.45140921403,0.0102490638121863,28.246,0.000186073625462459,-4963.45173200428,1.17503981181602,0,0,4
"32","urban.water",9934.90346402422,9935.4514092297,0.01024906374935,28.312,0.000186073623256979,-4963.45173201211,1.1750398118187,0,0,4
"33","urban.water.scrub.opend",9934.76875297342,9935.95185156497,0.0128357314015702,32.183,0.00127359729218747,-4961.38437648671,1.17424011586877,5,0.5,6
"34","agric.beach.fixed",9935.11226914314,9935.94560247648,0.00825366280235583,32.413,0.000658359454752095,-4962.55613457157,1.17469530096523,0,0,5
"35","urban.scrub",9935.39600299151,9935.94394819699,0.00884816043607489,34.019,0.000139216552593464,-4963.69800149576,1.17514103551764,0,0,4
"36","agric.fixed.opend",9936.05106685224,9936.88440018558,0.00588607765071323,41.621,0.00135204342858687,-4963.02553342612,1.17486510787564,0,0,5
"37","water.scrub.opend",9936.05396045226,9936.88729378559,0.0054563801312449,42.936,0.000719055364531392,-4963.02698022613,1.17488235295142,0,0,5
"38","water.fixed.opend",9936.17167206378,9937.00500539712,0.00521732170447647,44.035,0.00108665711506106,-4963.08583603189,1.174888436002,0,0,5
"39","beach.scrub.opend",9936.21029963313,9937.04363296646,0.00509487285092488,45.359,0.00104645518710697,-4963.10514981656,1.17489567151166,0,0,5
"40","water.beach.opend",9936.2179578443,9937.05129117763,0.00517813132719675,45.528,0.0011102932313584,-4963.10897892215,1.17489814491663,0,0,5
"41","urban.water.opend",9936.2338828054,9937.06721613874,0.00509705011086096,45.565,0.00101619439514854,-4963.1169414027,1.17486477441708,0,0,5
"42","water.agric.opend",9936.2253357241,9937.05866905743,0.00519108400715848,45.836,0.00112828496206771,-4963.11266786205,1.17489989542265,0,0,5
"43","urban.beach.opend",9936.25262481117,9937.0859581445,0.00530914530170046,46.421,0.00124241595642569,-4963.12631240558,1.17490497070518,0,0,5
"44","urban.scrub.fixed",9936.36561348878,9937.19894682211,0.00425733653173173,47.59,0.000313273517672696,-4963.18280674439,1.17494185255424,0,0,5
"45","urban.scrub.opend",9936.30301840319,9937.13635173652,0.00513879109380116,47.604,0.00119692013484647,-4963.15150920159,1.17491805758226,0,0,5
"46","urban.agric.opend",9936.35053986534,9937.18387319868,0.00516799005729175,48.582,0.00126190996712443,-4963.17526993267,1.17492657742954,0,0,5
"47","urban.fixed.opend",9936.37896297207,9937.21229630541,0.00501127491260539,48.751,0.00109057280674898,-4963.18948148604,1.1748938928981,0,0,5
