"","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"1","fixed",9930.01617139204,9930.34049571636,0.105840923054656,2.263,0.000931958233871254,-4962.00808569602,1.17467715569286,455,45.5,3
"2","Distance",9930.37492697373,9930.53492697373,0.0902683694489535,3.109,0.000193300465002788,-4963.18746348686,1.17513207636624,396,39.6,2
"3","fixed.beach",9932.01617139204,9932.56411659752,0.034817732110719,8.221,0.000931958233871254,-4962.00808569602,1.17467715569286,0,0,4
"4","opend",9932.04653635796,9932.37086068229,0.0444127887681939,9.117,0.00123094506300814,-4963.02326817898,1.17506963528108,103,10.3,3
"5","fixed.agric",9932.01762497275,9932.56557017823,0.0347855415106334,9.171,0.000931079384690516,-4962.00881248638,1.17467743405244,0,0,4
"6","fixed.water",9932.01771609557,9932.56566130105,0.034782923652119,9.182,0.000930727570792653,-4962.00885804779,1.17467744438014,0,0,4
"7","agric",9932.37492697373,9932.69925129805,0.0305885254683517,9.425,0.000193300465002788,-4963.18746348686,1.17513207636624,0,0,3
"8","beach",9932.37492697373,9932.69925129805,0.0305885254683517,9.425,0.000193300465002788,-4963.18746348686,1.17513207636624,0,0,3
"9","water",9932.38965111268,9932.71397543701,0.030408348603058,9.904,0.000190805747982994,-4963.19482555634,1.17513522891578,0,0,3
"10","opend.fixed",9932.4221425572,9932.97008776268,0.0290224297695825,10.839,0.00119123408581643,-4962.2110712786,1.17474314754454,10,1,4
"11","scrub",9932.99652314441,9933.32084746873,0.0255459967667524,14.524,0.000142010920347208,-4963.4982615722,1.17526696955388,1,0.1,3
"12","urban",9932.94229476178,9933.2666190861,0.0299342220794289,15.098,0.000150762682771974,-4963.47114738089,1.17525327662367,15,1.5,3
"13","fixed.urban",9933.78850282098,9934.33644802646,0.0138890015584762,20.179,0.000339678132983292,-4962.89425141049,1.17501579128018,0,0,4
"14","opend.beach",9933.81385406301,9934.36179926849,0.0157023782021865,20.816,0.00125034403269132,-4962.9069270315,1.17501848689514,0,0,4
