"","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"1","Distance",16509.079751824,16509.2009639452,0.128061475927151,1.076,9.86769485474389e-05,-8252.53987591201,1.13111014937652,944,94.4,2
"2","agric",16511.079751824,16511.3246497832,0.0442859517416408,4.543,9.86769487996953e-05,-8252.53987591201,1.13111014937725,0,0,3
"3","beach",16511.079751824,16511.3246497832,0.044285951741642,4.547,9.86769490802524e-05,-8252.53987591201,1.13111014937739,0,0,3
"4","water",16511.079751824,16511.3246497832,0.0442859517416252,4.609,9.86769485474389e-05,-8252.53987591201,1.13111014937652,0,0,3
"5","opend",16511.4301460102,16511.6750439694,0.0387909770597524,6.311,0.000109210023014026,-8252.71507300512,1.13114391042237,1,0.1,3
"6","scrub",16511.4354659001,16511.6803638593,0.0421319435876716,7.297,0.000546086007604007,-8252.71773295004,1.13114089352614,24,2.4,3
"7","urban",16511.5694025581,16511.8143005173,0.0385206522921671,8.069,9.45462548594295e-05,-8252.78470127904,1.13114615996144,10,1,3
"8","fixed",16511.4412416811,16511.6861396403,0.0435128750511779,8.103,0.000511112832802834,-8252.72062084057,1.13116515086397,13,1.3,3
"9","agric.scrub",16512.8804823763,16513.2928535104,0.0166274506226451,13.814,0.000145428655573632,-8252.44024118817,1.13108831590658,0,0,4
"10","water.scrub",16512.9804000081,16513.3927711421,0.0157091075105842,15.982,0.000131311772885499,-8252.49020000406,1.13109862108136,0,0,4
"11","agric.fixed",16513.0037830745,16513.4161542085,0.0156102526125031,16.21,0.000108689874550757,-8252.50189153723,1.13110120909161,0,0,4
"12","beach.scrub",16513.0023215941,16513.4146927281,0.0155194659629079,16.539,0.000143253734662893,-8252.50116079704,1.13110076533933,0,0,4
"13","urban.agric",16513.0285462715,16513.4409174055,0.0154632599516894,16.776,9.74822177559691e-05,-8252.51427313573,1.13109994153772,0,0,4
"14","water.opend",16513.0521743938,16513.4645455278,0.0151609142680973,16.855,0.000124818156720859,-8252.52608719688,1.13110597172537,0,0,4
"15","urban.water",16513.0375427785,16513.4499139126,0.0153868319639248,17.353,9.64786212475265e-05,-8252.51877138927,1.13110075194557,0,0,4
"16","agric.opend",16513.0764990623,16513.4888701964,0.0149805848950058,17.647,0.000125002494183539,-8252.53824953117,1.13110842257869,0,0,4
"17","beach.opend",16513.0807417908,16513.4931129249,0.0149443815378487,17.902,0.000122827009074545,-8252.54037089542,1.13110893034229,0,0,4
"18","water.fixed",16513.0704910253,16513.4828621593,0.0150470625320236,17.974,0.000100048769138126,-8252.53524551263,1.1311085997922,0,0,4
"19","beach.fixed",16513.0726712116,16513.4850423456,0.0150344666194726,17.993,9.96284746646526e-05,-8252.53633560578,1.13110913403958,0,0,4
