"","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"1","Distance",16508.7266310458,16508.8478431671,0.126664739324605,1.094,0.000104463195707331,-8252.36331552292,1.13124164848748,946,94.6,2
"2","water",16510.7266310457,16510.9715290049,0.0438029352135542,4.365,0.000104463190985729,-8252.36331552287,1.13124164847689,0,0,3
"3","agric",16510.7266310458,16510.971529005,0.0438029352112558,4.366,0.000104463195703425,-8252.36331552292,1.13124164848764,0,0,3
"4","beach",16510.7266310458,16510.971529005,0.0438029352112575,4.371,0.000104463195707331,-8252.36331552292,1.13124164848748,0,0,3
"5","scrub",16510.7216973212,16510.9665952803,0.0460352962940279,4.819,8.77661840934263e-05,-8252.36084866058,1.13123108761399,6,0.6,3
"6","opend",16511.0791690846,16511.3240670438,0.0387583322341581,6.163,0.000119120312456787,-8252.53958454231,1.13127562227917,4,0.4,3
"7","urban",16511.2366657668,16511.481563726,0.0380019247633001,7.979,0.000100695582764256,-8252.61833288339,1.13127870737027,9,0.9,3
"8","fixed",16511.1607662533,16511.4056642125,0.0422518052315671,8.38,0.000491621827418238,-8252.58038312666,1.13130194314945,17,1.7,3
"9","scrub.agric",16512.5346551151,16512.9470262491,0.0164107998554097,13.732,0.000158331340136867,-8252.26732755753,1.13122073230558,0,0,4
"10","beach.urban",16512.5987832762,16513.0111544103,0.0159825462295825,15.168,0.00011161778103514,-8252.29939163812,1.13122454754317,0,0,4
"11","scrub.beach",16512.6263769489,16513.0387480829,0.0155673025404985,15.609,0.000129702183992926,-8252.31318847444,1.13123033441857,0,0,4
"12","scrub.water",16512.6339600357,16513.0463311697,0.0155026605514646,16.023,0.000144662932996093,-8252.31698001783,1.13123095405774,0,0,4
"13","opend.agric",16512.652797589,16513.0651687231,0.0154239603656347,16.066,0.000132692669683461,-8252.32639879452,1.1312326867667,0,0,4
"14","opend.water",16512.6528855929,16513.0652567269,0.0154229515945699,16.254,0.000132651589878858,-8252.32644279646,1.13123269716419,0,0,4
"15","opend.beach",16512.6554680163,16513.0678391503,0.0153753467605619,16.291,0.000129104552174294,-8252.32773400815,1.13123303521917,0,0,4
"16","water.urban",16512.6869099723,16513.0992811063,0.0151948718983848,16.921,0.000101876231152103,-8252.34345498615,1.13123237994357,0,0,4
"17","fixed.beach",16512.7193364421,16513.1317075761,0.0148727795954595,17.441,0.000105416457039103,-8252.35966822105,1.13124067011342,0,0,4
"18","fixed.agric",16512.7253150483,16513.1376861823,0.0148327200250959,17.716,0.000107053116764822,-8252.36265752413,1.13124000435813,0,0,4
"19","agric.water",16512.7266310458,16513.1390021799,0.0148198017364834,17.75,0.000104463195703425,-8252.36331552292,1.13124164848764,0,0,4
"20","beach.agric",16512.7266310458,16513.1390021799,0.0148198017364834,17.75,0.000104463195703425,-8252.36331552292,1.13124164848764,0,0,4
"21","beach.water",16512.7266310458,16513.1390021799,0.014819801736484,17.753,0.000104463195707331,-8252.36331552292,1.13124164848748,0,0,4
"22","fixed.water",16512.7306090833,16513.1429802173,0.0147803119410443,17.946,0.000104772742178671,-8252.36530454164,1.1312409171192,0,0,4
"23","opend.scrub",16512.7695715534,16513.1819426874,0.0160050267721389,18.192,0.000288674290578719,-8252.3847857767,1.1312408943998,4,0.4,4
"24","agric.urban",16512.8064698531,16513.2188409871,0.0143175134706888,18.596,9.07649280952534e-05,-8252.40323492653,1.13124066304382,0,0,4
"25","fixed.scrub",16512.8033817205,16513.2157528546,0.0160716056748589,18.719,0.000286249297712157,-8252.40169086027,1.13123658229969,5,0.5,4
"26","scrub.urban",16512.9466011178,16513.3589722518,0.0145215696093849,20.432,0.000262528610842905,-8252.47330055888,1.13125811433365,0,0,4
"27","fixed.urban",16512.8178923055,16513.2302634395,0.0191728699179247,21.438,0.000232898424627003,-8252.40894615273,1.13124133368068,7,0.7,4
"28","opend.fixed",16513.2862330207,16513.6986041548,0.0125523969644542,24.92,9.45071775947581e-05,-8252.64311651037,1.1312959311441,0,0,4
"29","opend.urban",16513.3310912459,16513.74346238,0.0125941567425742,25.642,0.000118020814895574,-8252.66554562297,1.13130087968765,0,0,4
"30","scrub.beach.agric",16514.5287716277,16515.1537716277,0.00544592511659628,39.085,0.000153049891516566,-8252.26438581385,1.13122014235776,0,0,5
"31","scrub.agric.water",16514.537417156,16515.162417156,0.00541804485805537,39.342,0.0001478693080599,-8252.26870857799,1.13122121855325,0,0,5
"32","opend.scrub.water",16514.5195722192,16515.1445722192,0.00550158740534071,39.7,0.000174394732945051,-8252.25978610958,1.1312177790415,0,0,5
"33","opend.scrub.beach",16514.5195262018,16515.1445262018,0.00551813148630369,39.938,0.000181691470582249,-8252.25976310092,1.13121748317296,0,0,5
"34","opend.agric.urban",16514.5630824401,16515.1880824401,0.0053972874728735,40.443,0.00011798804509081,-8252.28154122006,1.13122211551893,0,0,5
"35","fixed.scrub.agric",16514.5375612649,16515.1625612649,0.0057633613137485,41.101,0.000248391257631236,-8252.26878063244,1.13121188606569,0,0,5
"36","opend.scrub.agric",16514.5648998495,16515.1898998495,0.00535367875184163,41.36,0.000185522374384146,-8252.28244992473,1.13122331769559,0,0,5
"37","fixed.scrub.urban",16514.5404635309,16515.1654635309,0.00614760490684297,41.445,0.000295271405476148,-8252.27023176544,1.13121513155743,0,0,5
