"","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"1","urban",239650.681899257,239650.741899257,0.0972876270865417,4.829,0.000113279952152661,-119822.340949629,1.03485158028647,343,34.3,3
"2","Distance",239652.134387708,239652.164312895,0.0494801547539643,8.43,8.29190277486269e-06,-119824.067193854,1.03487283810625,180,18,2
"3","water.urban",239651.733471348,239651.833721974,0.0572615162741544,8.515,0.000164862089660651,-119821.866735674,1.03484439342102,94,9.4,4
"4","beach.urban",239652.681918189,239652.782168816,0.035075770204681,13.163,0.000113276504544603,-119822.340959095,1.03485158039623,0,0,4
"5","scrub.beach",239652.794924933,239652.89517556,0.0411409990905513,13.393,4.87139100847458e-05,-119822.397462467,1.03485075645178,93,9.3,4
"6","opend.urban",239652.78630644,239652.886557066,0.032846765979582,13.789,0.00010672433157057,-119822.39315322,1.03485232360195,0,0,4
"7","beach.water",239653.007925107,239653.108175733,0.0355149098673648,14.869,4.84592635592543e-05,-119822.503962553,1.03485212306733,17,1.7,4
"8","beach.agric",239653.701406993,239653.80165762,0.0241324938009717,18.444,5.83100118835408e-05,-119822.850703497,1.03485709636752,29,2.9,4
"9","beach",239654.134387708,239654.194387708,0.0179310575607658,18.663,8.29190279550187e-06,-119824.067193854,1.03487283810625,0,0,3
"10","water",239654.165816732,239654.225816732,0.0176006836356121,19.346,1.67212421641407e-05,-119824.082908366,1.03487281697973,0,0,3
"11","beach.water.urban",239653.755711615,239653.906465384,0.0199746572807721,21.036,0.00016031532893365,-119821.877855808,1.03484455270504,0,0,5
"12","fixed",239654.463121886,239654.523121886,0.01529794780787,21.411,8.79900393719964e-06,-119824.231560943,1.03487494253479,0,0,3
"13","opend.water.urban",239653.784387253,239653.935141021,0.0200512079666243,21.503,0.000162658192116522,-119821.892193626,1.03484477229606,0,0,5
"14","agric",239654.48938732,239654.54938732,0.0151654195825279,21.871,7.23157171155706e-05,-119824.24469366,1.03487394701003,0,0,3
"15","scrub",239654.55879115,239654.61879115,0.0169275746014574,22.227,0.000104947102024503,-119824.279395575,1.03487708036448,15,1.5,3
"16","beach.agric.urban",239653.924619623,239654.075373392,0.0194140234314826,22.81,0.000158947535248162,-119821.962309812,1.0348460078012,1,0.1,5
"17","opend",239654.749928406,239654.809928406,0.0148245207276812,23.138,8.89403875258769e-05,-119824.374964203,1.03487546346558,5,0.5,3
"18","fixed.agric.urban",239654.237067412,239654.387821181,0.0338721001144017,27.07,0.000205108287452415,-119822.118533706,1.03485456519049,77,7.7,5
"19","scrub.beach.water",239654.65106092,239654.801814688,0.0166747555470451,29.58,4.66292169352217e-05,-119822.32553046,1.03484978821673,0,0,5
"20","fixed.beach.urban",239654.806368939,239654.957122708,0.0161264484586155,30.289,4.48586030626498e-05,-119822.40318447,1.0348515270859,8,0.8,5
"21","fixed.agric",239655.267122602,239655.367373229,0.0149457466311751,30.715,0.000268116434888233,-119823.633561301,1.03486937532144,24,2.4,4
"22","fixed.urban",239655.51333064,239655.613581267,0.0122952634986049,33.521,0.000127344319368473,-119823.75666532,1.03487209221028,9,0.9,4
"23","fixed.scrub.agric",239655.391117711,239655.54187148,0.0140660874555472,34.357,0.000172979624205718,-119822.695558855,1.03485567539906,21,2.1,5
"24","agric.urban",239655.66978012,239655.770030746,0.0123487997708307,35.256,8.11208119114837e-05,-119823.83489006,1.03487371431154,12,1.2,4
"25","fixed.beach",239656.106820632,239656.207071259,0.00656954959958422,38.68,8.79289542100593e-06,-119824.053410316,1.03487270980457,0,0,4
"26","scrub.beach.agric",239655.691829611,239655.84258338,0.00900069588709865,38.857,6.07711564680166e-05,-119822.845914806,1.03485723060616,0,0,5
"27","opend.scrub",239656.279170773,239656.379421399,0.00692833073023362,39.14,0.000129226108213973,-119824.139585386,1.03487270669145,2,0.2,4
"28","opend.fixed.urban",239655.644466604,239655.795220373,0.0147282791410865,39.532,6.71839391737525e-05,-119822.822233302,1.0348586165546,21,2.1,5
"29","opend.scrub.beach.urban",239655.648876454,239655.860463356,0.00826715353054698,39.843,0.000174735215881197,-119821.824438227,1.03484334098722,1,0.1,6
"30","fixed.beach.water",239655.914826667,239656.065580435,0.00688694200123306,40.759,3.36582333596011e-05,-119822.957413333,1.03485831828803,0,0,5
"31","opend.beach",239656.454636878,239656.554887504,0.0058747254261406,40.778,0.000107698803263729,-119824.227318439,1.0348737486943,0,0,4
