"","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"1","Distance",29852.6295025375,29852.7177378316,0.178743921194255,3.271,0.000246084152392831,-14924.3147512688,1.09549244481403,527,52.7,2
"2","beach",29854.6295025375,29854.8072803153,0.0628771568658331,6.795,0.000246084152648685,-14924.3147512688,1.09549244481399,0,0,3
"3","beach.scrub.opend",29854.1176824513,29854.5688102709,0.083578484436354,7.407,0.00180555003167674,-14922.0588412257,1.09520611083809,160,16,5
"4","scrub.opend",29854.4959990624,29854.7945065251,0.0673994730320747,7.614,0.00136338280335575,-14923.2479995312,1.09536314731983,76,7.6,4
"5","urban.beach.scrub.opend",29854.4170773075,29855.0534409438,0.0687716036267466,9.008,0.00161216889115015,-14921.2085386537,1.09512141118594,88,8.8,6
"6","scrub.fixed.opend",29854.8187189495,29855.269846769,0.0493238031000234,9.397,0.00119392921432837,-14922.4093594747,1.09526760319963,6,0.6,5
"7","urban",29855.8585759065,29856.0363536843,0.0401908958527292,10.216,0.000242347675061858,-14924.9292879533,1.09556769568317,8,0.8,3
"8","urban.scrub.opend",29855.0612234009,29855.5123512204,0.0477577001816659,10.223,0.00114390305124822,-14922.5306117004,1.09529017286784,37,3.7,5
"9","scrub.fixed",29855.3895838258,29855.6880912885,0.0381439644270126,10.407,0.000840000214341183,-14923.6947919129,1.09541515350477,9,0.9,4
"10","beach.scrub",29855.6750478502,29855.9735553129,0.0381724133961699,10.674,0.000876866241694297,-14923.8375239251,1.09543958013179,16,1.6,4
"11","beach.scrub.fixed",29855.6419294854,29856.093057305,0.0329684199214558,11.896,0.00069523386903515,-14922.8209647427,1.09531762867211,16,1.6,5
"12","beach.fixed",29856.6295025375,29856.9280100002,0.0217762099976651,12.607,0.000246084152259698,-14924.3147512688,1.09549244481395,0,0,4
"13","beach.opend",29856.6297425304,29856.9282499931,0.0217734097878191,13.581,0.000246066843497597,-14924.3148712652,1.09549245869238,0,0,4
"14","scrub",29857.1444424438,29857.3222202215,0.0249585683365368,14.034,0.00640561324939757,-14925.5722212219,1.09563550100879,4,0.4,3
"15","urban.beach",29856.9543274635,29857.2528349261,0.018974908293672,14.567,0.00023436794664474,-14924.4771637317,1.09551032530186,0,0,4
"16","urban.beach.scrub.fixed.opend",29856.0367438401,29856.6731074764,0.0272104413237904,14.797,0.00166796313080369,-14922.01837192,1.09520507336159,0,0,6
"17","beach.scrub.fixed.opend",29856.0389184151,29856.6752820514,0.0272398950934184,14.877,0.00167366859070946,-14922.0194592075,1.0952050517078,0,0,6
"18","fixed",29857.7459457288,29857.9237235066,0.0349057140629394,15.996,0.000771513212256127,-14925.8729728644,1.09572743483269,31,3.1,3
"19","opend",29858.0696185481,29858.2473963259,0.0291481911344505,16.669,0.000127669299536761,-14926.0348092741,1.09568802717154,22,2.2,3
"20","urban.scrub.fixed.opend",29857.0243256527,29857.6606892891,0.0163068295886826,17.884,0.00114970345094851,-14922.5121628263,1.09528775511241,0,0,6
"21","urban.beach.scrub",29857.7555743587,29858.2067021782,0.0123862998891968,19.004,0.00067153887076689,-14923.8777871793,1.09544336653249,0,0,5
"22","urban.fixed",29858.6709539447,29858.9694614074,0.00823141289033092,20.87,0.000157361692630111,-14925.3354769724,1.09561090614037,0,0,4
"23","urban.beach.opend",29858.6581419281,29859.1092697477,0.00730904435699593,21.116,0.0002444032877473,-14924.3290709641,1.09549405168937,0,0,5
"24","urban.scrub",29859.1371025866,29859.4356100492,0.00866469592057378,21.934,0.00640698805296161,-14925.5685512933,1.09563505312368,0,0,4
"25","urban.beach.fixed",29858.8760448304,29859.32717265,0.00652281302245795,22.586,0.00023301010474195,-14924.4380224152,1.09550641597005,0,0,5
"26","fixed.opend",29859.7529186139,29860.0514260765,0.00733460725461166,23.486,0.000151039149966288,-14925.8764593069,1.09568612121814,0,0,4
"27","urban.scrub.fixed",29859.3122802962,29859.7634081157,0.00601115229212889,23.666,0.000224604302129645,-14924.6561401481,1.09553010086467,0,0,5
"28","urban.opend",29859.8401955575,29860.1387030202,0.00592779110726528,24.532,9.49012946168739e-05,-14925.9200977787,1.09567559549053,0,0,4
"29","urban.beach.scrub.fixed",29861.2096934336,29861.8460570699,0.00190994306197462,28.669,0.000217265309396021,-14924.6048467168,1.0955250903567,0,0,6
"30","urban.fixed.opend",29861.7345106161,29862.1856384357,0.00250943083843302,29.114,0.000150290480412865,-14925.8672553081,1.09568396548515,0,0,5
"31","beach.fixed.opend",29861.5776195181,29862.0287473376,0.00211311219589522,29.367,0.000113826362422269,-14925.788809759,1.09566218576942,0,0,5
"32","urban.beach.fixed.opend",29863.6747244356,29864.311088072,0.000857693516841073,31.736,0.000152649561343947,-14925.8373622178,1.09567965127784,0,0,6
