"","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"1","Distance",29855.5328758715,29855.6211111657,0.183213873499855,3.027,0.000240911911458841,-14925.7664379358,1.09568907880497,551,55.1,2
"2","beach",29857.5328758715,29857.7106536493,0.0644495621841787,6.398,0.000240911911660171,-14925.7664379358,1.09568907880501,0,0,3
"3","opend.scrub.beach",29857.0079726298,29857.4591004493,0.0850553603749983,7.212,0.00174370812072614,-14923.5039863149,1.09540334719432,130,13,5
"4","opend.scrub",29857.3746993912,29857.6732068539,0.0742078364665522,7.624,0.0013522937490521,-14924.6873496956,1.09555871938862,95,9.5,4
"5","opend.fixed.scrub",29857.4914856142,29857.9426134337,0.057131773309369,8.407,0.00122916636802639,-14923.7457428071,1.09545032178764,14,1.4,5
"6","opend.scrub.beach.urban",29857.3568716185,29857.9932352549,0.0719813016407476,8.925,0.00158156914965281,-14922.6784358093,1.09532073738059,105,10.5,6
"7","urban",29858.6505677401,29858.8283455179,0.0439291930200957,9.682,0.000243017638279741,-14926.3252838701,1.09575791541752,8,0.8,3
"8","opend.scrub.urban",29858.0818678034,29858.532995623,0.0461715578453263,10.423,0.00111588205105522,-14924.0409339017,1.09549392312025,27,2.7,5
"9","fixed.scrub",29858.4105069604,29858.7090144231,0.0376665956146912,10.511,0.000809461556286923,-14925.2052534802,1.0956189512944,12,1.2,4
"10","scrub.beach",29858.6753776017,29858.9738850644,0.0372621619066769,10.789,0.00133753068438607,-14925.3376888008,1.09564234329203,19,1.9,4
"11","fixed.scrub.beach",29858.7659830674,29859.2171108869,0.0297460409471187,12.211,0.00067094446331887,-14924.3829915337,1.09552715116003,7,0.7,5
"12","opend.beach",29859.5328758716,29859.8313833343,0.0223207802376698,12.296,0.000240911912077477,-14925.7664379358,1.09568907880517,0,0,4
"13","fixed.beach",29859.5328758725,29859.8313833352,0.0223207802266369,13.024,0.000240911911774447,-14925.7664379363,1.09568907880501,0,0,4
"14","fixed",29859.5892450021,29859.7670227799,0.0256085079073349,13.195,0.000305719980308061,-14926.7946225011,1.09579996403069,1,0.1,3
"15","beach.urban",29859.8975948804,29860.1961023431,0.0189520126150843,14.009,0.00022667871971244,-14925.9487974402,1.09570933118197,0,0,4
"16","scrub",29860.1385420161,29860.3163197938,0.0254366482948159,14.432,0.00562749313222258,-14927.069271008,1.09583887894746,4,0.4,3
"17","opend.fixed.scrub.beach",29858.9818383877,29859.6182020241,0.0277858984469891,14.531,0.00164552114700252,-14923.4909191939,1.09540434717663,0,0,6
"18","fixed.urban",29860.0461159531,29860.3446234157,0.0175842437105711,15.35,0.000219790355472993,-14926.0230579765,1.0957177069446,0,0,4
"19","opend",29860.823911074,29861.0016888517,0.0310062037278185,16.536,0.00013554090663174,-14927.411955537,1.09587575428204,26,2.6,3
"20","scrub.urban",29860.7786976127,29861.0772050754,0.0134769058517004,17.667,0.000187477578688682,-14926.3893488063,1.09575733374723,1,0.1,4
"21","opend.fixed.scrub.urban",29860.0480176965,29860.6843813329,0.0156961850370885,17.819,0.00112035465796749,-14924.0240088483,1.0954916479701,0,0,6
"22","fixed.beach.urban",29861.5461935128,29861.9973213323,0.00755121429421046,20.843,0.000239765157390428,-14925.7730967564,1.09568986807427,0,0,5
"23","opend.beach.urban",29861.8976022424,29862.3487300619,0.00645978426934635,21.895,0.000226678356663344,-14925.9488011212,1.09570933159385,0,0,5
"24","scrub.beach.urban",29861.9825891184,29862.433716938,0.00615631742823956,23.008,0.000221585838099222,-14925.9912945592,1.09571419135012,0,0,5
"25","opend.fixed",29862.5947303672,29862.8932378299,0.00736706698285419,23.135,0.000147100274293735,-14927.2973651836,1.09587950500198,0,0,4
"26","fixed.scrub.urban",29862.4836865088,29862.9348143283,0.0054908394683698,24.247,0.000224753371354423,-14926.2418432544,1.09574276338915,0,0,5
"27","opend.urban",29863.3051639662,29863.6036714289,0.00567145042295708,25.347,8.47120426374212e-05,-14927.6525819831,1.09590349734455,0,0,4
"28","opend.fixed.beach",29863.236693096,29863.6878209156,0.00354323588946566,26.487,0.000149453541785065,-14926.618346548,1.09579012666534,0,0,5
"29","opend.fixed.scrub.beach.urban",29864.4121507696,29865.0485144059,0.00176847665684724,28.831,0.00020984285623726,-14926.2060753848,1.09573870523962,0,0,6
"30","opend.fixed.urban",29864.5782102237,29865.0293380432,0.00252199842219018,28.853,0.00014610638121498,-14927.2891051118,1.09587744888135,0,0,5
"31","fixed.scrub.beach.urban",29864.7264448076,29865.3628084439,0.00160527110884912,29.695,0.000234501998431464,-14926.3632224038,1.09575635631855,0,0,6
"32","opend.fixed.beach.urban",29866.5207900576,29867.1571536939,0.000860922191351325,31.591,0.00014835655587905,-14927.2603950288,1.09587323403951,0,0,6
