"","X","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k","Feature1","Feature2","Feature3","Feature4","Feature5","Feature6","Feature7","DeltaAICc","cat_type","area"
"1",1,"Distance",29852.6295025375,29852.7177378316,0.178743921194255,3.271,0.000246084152392831,-14924.3147512688,1.09549244481403,527,52.7,2,NA,NA,NA,NA,NA,NA,NA,0,"MC","westhoek"
"2",2,"beach",29854.6295025375,29854.8072803153,0.0628771568658331,6.795,0.000246084152648685,-14924.3147512688,1.09549244481399,0,0,3,1,2500,NA,NA,NA,NA,NA,2.08954248369992,"MC","westhoek"
"3",3,"beach.scrub.opend",29854.1176824513,29854.5688102709,0.083578484436354,7.407,0.00180555003167674,-14922.0588412257,1.09520611083809,160,16,5,1,1338.47497014162,2500,659.017088915647,NA,NA,NA,1.85107243929815,"MC","westhoek"
"4",4,"scrub.opend",29854.4959990624,29854.7945065251,0.0673994730320747,7.614,0.00136338280335575,-14923.2479995312,1.09536314731983,76,7.6,4,1,2500,450.726330517763,NA,NA,NA,NA,2.07676869349962,"MC","westhoek"
"5",5,"urban.beach.scrub.opend",29854.4170773075,29855.0534409438,0.0687716036267466,9.008,0.00161216889115015,-14921.2085386537,1.09512141118594,88,8.8,6,1,69.7899716737606,206.687026791632,2500,526.244654930101,NA,NA,2.33570311219955,"MC","westhoek"
"6",6,"scrub.fixed.opend",29854.8187189495,29855.269846769,0.0493238031000234,9.397,0.00119392921432837,-14922.4093594747,1.09526760319963,6,0.6,5,48.5689558839226,2500,1,479.723997982256,NA,NA,NA,2.55210893739786,"MC","westhoek"
"7",7,"urban",29855.8585759065,29856.0363536843,0.0401908958527292,10.216,0.000242347675061858,-14924.9292879533,1.09556769568317,8,0.8,3,2500,1,NA,NA,NA,NA,NA,3.31861585269871,"MC","westhoek"
"8",8,"urban.scrub.opend",29855.0612234009,29855.5123512204,0.0477577001816659,10.223,0.00114390305124822,-14922.5306117004,1.09529017286784,37,3.7,5,1,46.7012052571677,2500,345.72853953352,NA,NA,NA,2.79461338879992,"MC","westhoek"
"9",9,"scrub.fixed",29855.3895838258,29855.6880912885,0.0381439644270126,10.407,0.000840000214341183,-14923.6947919129,1.09541515350477,9,0.9,4,231.628507677808,2500,1,NA,NA,NA,NA,2.97035345689801,"MC","westhoek"
"10",10,"beach.scrub",29855.6750478502,29855.9735553129,0.0381724133961699,10.674,0.000876866241694297,-14923.8375239251,1.09543958013179,16,1.6,4,1,2500,219.259910960215,NA,NA,NA,NA,3.25581748129844,"MC","westhoek"
"11",11,"beach.scrub.fixed",29855.6419294854,29856.093057305,0.0329684199214558,11.896,0.00069523386903515,-14922.8209647427,1.09531762867211,16,1.6,5,9.27798437204319,2500,91.6237421442415,1,NA,NA,NA,3.37531947339812,"MC","westhoek"
"12",12,"beach.fixed",29856.6295025375,29856.9280100002,0.0217762099976651,12.607,0.000246084152259698,-14924.3147512688,1.09549244481395,0,0,4,1,2500,1.00000000001637,NA,NA,NA,NA,4.21027216859875,"MC","westhoek"
"13",13,"beach.opend",29856.6297425304,29856.9282499931,0.0217734097878191,13.581,0.000246066843497597,-14924.3148712652,1.09549245869238,0,0,4,1,2500,1.00013758438263,NA,NA,NA,NA,4.21051216149863,"MC","westhoek"
"14",14,"scrub",29857.1444424438,29857.3222202215,0.0249585683365368,14.034,0.00640561324939757,-14925.5722212219,1.09563550100879,4,0.4,3,1,2500,NA,NA,NA,NA,NA,4.6044823898992,"MC","westhoek"
"15",15,"urban.beach",29856.9543274635,29857.2528349261,0.018974908293672,14.567,0.00023436794664474,-14924.4771637317,1.09551032530186,0,0,4,1,2500,781.779525899043,NA,NA,NA,NA,4.53509709450009,"MC","westhoek"
"16",16,"urban.beach.scrub.fixed.opend",29856.0367438401,29856.6731074764,0.0272104413237904,14.797,0.00166796313080369,-14922.01837192,1.09520507336159,0,0,6,0.999999999999545,1026.73966699972,2500,8.68743812707589,626.518156530911,NA,NA,3.95536964479834,"MC","westhoek"
"17",17,"beach.scrub.fixed.opend",29856.0389184151,29856.6752820514,0.0272398950934184,14.877,0.00167366859070946,-14922.0194592075,1.0952050517078,0,0,6,1,1811.85072375302,2500,8.37122547116587,627.662480612388,NA,NA,3.95754421980018,"MC","westhoek"
"18",18,"fixed",29857.7459457288,29857.9237235066,0.0349057140629394,15.996,0.000771513212256127,-14925.8729728644,1.09572743483269,31,3.1,3,1,2500,NA,NA,NA,NA,NA,5.20598567499837,"MC","westhoek"
"19",19,"opend",29858.0696185481,29858.2473963259,0.0291481911344505,16.669,0.000127669299536761,-14926.0348092741,1.09568802717154,22,2.2,3,2500,1,NA,NA,NA,NA,NA,5.52965849429893,"MC","westhoek"
"20",20,"urban.scrub.fixed.opend",29857.0243256527,29857.6606892891,0.0163068295886826,17.884,0.00114970345094851,-14922.5121628263,1.09528775511241,0,0,6,2.02646200131812,46.2304522552686,2500,1,341.463286500311,NA,NA,4.94295145749857,"MC","westhoek"
"21",21,"urban.beach.scrub",29857.7555743587,29858.2067021782,0.0123862998891968,19.004,0.00067153887076689,-14923.8777871793,1.09544336653249,0,0,5,1,1.14823646136119,2500,172.431331684667,NA,NA,NA,5.48896434659764,"MC","westhoek"
"22",22,"urban.fixed",29858.6709539447,29858.9694614074,0.00823141289033092,20.87,0.000157361692630111,-14925.3354769724,1.09561090614037,0,0,4,3.80994932491467,2500,1,NA,NA,NA,NA,6.25172357579868,"MC","westhoek"
"23",23,"urban.beach.opend",29858.6581419281,29859.1092697477,0.00730904435699593,21.116,0.0002444032877473,-14924.3290709641,1.09549405168937,0,0,5,1,1.2636334825811,2500,1.00629631277343,NA,NA,NA,6.39153191609876,"MC","westhoek"
"24",24,"urban.scrub",29859.1371025866,29859.4356100492,0.00866469592057378,21.934,0.00640698805296161,-14925.5685512933,1.09563505312368,0,0,4,1.005881220427,1,2500,NA,NA,NA,NA,6.71787221759951,"MC","westhoek"
"25",25,"urban.beach.fixed",29858.8760448304,29859.32717265,0.00652281302245795,22.586,0.00023301010474195,-14924.4380224152,1.09550641597005,0,0,5,1,5.36388208418794,2500,1.00000050689914,NA,NA,NA,6.60943481839786,"MC","westhoek"
"26",26,"fixed.opend",29859.7529186139,29860.0514260765,0.00733460725461166,23.486,0.000151039149966288,-14925.8764593069,1.09568612121814,0,0,4,1,2500,1246.85417239896,NA,NA,NA,NA,7.33368824490026,"MC","westhoek"
"27",27,"urban.scrub.fixed",29859.3122802962,29859.7634081157,0.00601115229212889,23.666,0.000224604302129645,-14924.6561401481,1.09553010086467,0,0,5,1.33251026567041,2500,11.4427481857697,1,NA,NA,NA,7.0456702841002,"MC","westhoek"
"28",28,"urban.opend",29859.8401955575,29860.1387030202,0.00592779110726528,24.532,9.49012946168739e-05,-14925.9200977787,1.09567559549053,0,0,4,1,2500,33.0642337372633,NA,NA,NA,NA,7.42096518859762,"MC","westhoek"
"29",29,"urban.beach.scrub.fixed",29861.2096934336,29861.8460570699,0.00190994306197462,28.669,0.000217265309396021,-14924.6048467168,1.0955250903567,0,0,6,1.19811865354541,2500,1024.94191189154,1,1.04676151900321,NA,NA,9.12831923829799,"MC","westhoek"
"30",30,"urban.fixed.opend",29861.7345106161,29862.1856384357,0.00250943083843302,29.114,0.000150290480412865,-14925.8672553081,1.09568396548515,0,0,5,1,40.7978325302001,2500,1257.64006158974,NA,NA,NA,9.46790060410058,"MC","westhoek"
"31",31,"beach.fixed.opend",29861.5776195181,29862.0287473376,0.00211311219589522,29.367,0.000113826362422269,-14925.788809759,1.09566218576942,0,0,5,1,2500,1.56636971952594,58.3593510726682,NA,NA,NA,9.31100950600012,"MC","westhoek"
"32",32,"urban.beach.fixed.opend",29863.6747244356,29864.311088072,0.000857693516841073,31.736,0.000152649561343947,-14925.8373622178,1.09567965127784,0,0,6,1,52.5559385076822,1957.8890592451,2500,1367.73167579237,NA,NA,11.5933502404005,"MC","westhoek"
"33",1,"Distance",1496.09222689825,1496.5366713427,0.187468772501163,1.671,0.000495017741213256,-746.046113449127,1.13934689058612,634,63.4,2,NA,NA,NA,NA,NA,NA,NA,0,"MC","cabour"
"34",2,"agric",1496.57793432902,1497.5010112521,0.131064390679837,2.792,0.028644495496901,-745.28896716451,1.13919710823581,289,28.9,3,1,2500,NA,NA,NA,NA,NA,0.964339909399996,"MC","cabour"
"35",3,"opend",1497.97252955213,1498.89560647521,0.0596431868027769,5.782,0.00183716428852677,-745.986264776065,1.13907717628383,19,1.9,3,1,2500,NA,NA,NA,NA,NA,2.35893513250994,"MC","cabour"
"36",4,"fixed",1498.03962891367,1498.96270583675,0.0574907941871501,6.111,0.000862251097875316,-746.019814456835,1.13917895791248,14,1.4,3,1,2500,NA,NA,NA,NA,NA,2.4260344940501,"MC","cabour"
"37",5,"water",1498.09242127416,1499.01549819723,0.0542801773218678,6.31,0.000494831737637825,-746.046210637079,1.1393472326735,0,0,3,1,2500,NA,NA,NA,NA,NA,2.4788268545301,"MC","cabour"
"38",6,"scrub",1498.09478315814,1499.01786008122,0.0541626223972597,6.332,0.000496536553963035,-746.047391579071,1.13935292120802,0,0,3,1,2500,NA,NA,NA,NA,NA,2.48118873852013,"MC","cabour"
"39",7,"urban",1498.09395008996,1499.01702701303,0.0542293836590427,6.399,0.000494964164145625,-746.046975044978,1.13934943646197,0,0,3,1,2500,NA,NA,NA,NA,NA,2.48035567033003,"MC","cabour"
"40",8,"water.agric",1497.79793281232,1499.39793281232,0.0566582208731459,6.973,0.0330460609882929,-744.898966406158,1.13857872355197,43,4.3,4,1,487.422785932389,2500,NA,NA,NA,NA,2.8612614696201,"MC","cabour"
"41",9,"agric.scrub",1498.57703977075,1500.17703977075,0.0340095201418909,9.658,0.0160973420516934,-745.288519885373,1.13860103717717,0,0,4,1,2500,957.455107166302,NA,NA,NA,NA,3.64036842805012,"MC","cabour"
"42",10,"urban.agric",1499.50522220019,1501.10522220019,0.0196614346651896,13.442,0.00423022527446178,-745.752611100096,1.13935337397278,0,0,4,1,2500,2279.29186034645,NA,NA,NA,NA,4.56855085748998,"MC","cabour"
