"","X","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k","Feature1","Feature2","Feature3","Feature4","Feature5","Feature6","Feature7","DeltaAICc","cat_type","area"
"1",1,"Distance",29855.5328758715,29855.6211111657,0.183213873499855,3.027,0.000240911911458841,-14925.7664379358,1.09568907880497,551,55.1,2,NA,NA,NA,NA,NA,NA,NA,0,"MC","westhoek"
"2",2,"beach",29857.5328758715,29857.7106536493,0.0644495621841787,6.398,0.000240911911660171,-14925.7664379358,1.09568907880501,0,0,3,1,2500,NA,NA,NA,NA,NA,2.08954248360169,"MC","westhoek"
"3",3,"opend.scrub.beach",29857.0079726298,29857.4591004493,0.0850553603749983,7.212,0.00174370812072614,-14923.5039863149,1.09540334719432,130,13,5,1,283.829949679044,1076.81590252824,2500,NA,NA,NA,1.83798928360193,"MC","westhoek"
"4",4,"opend.scrub",29857.3746993912,29857.6732068539,0.0742078364665522,7.624,0.0013522937490521,-14924.6873496956,1.09555871938862,95,9.5,4,1,450.546601862206,2500,NA,NA,NA,NA,2.05209568819919,"MC","westhoek"
"5",5,"opend.fixed.scrub",29857.4914856142,29857.9426134337,0.057131773309369,8.407,0.00122916636802639,-14923.7457428071,1.09545032178764,14,1.4,5,56.1041418813652,587.321047788669,1,2500,NA,NA,NA,2.3215022680015,"MC","westhoek"
"6",6,"opend.scrub.beach.urban",29857.3568716185,29857.9932352549,0.0719813016407476,8.925,0.00158156914965281,-14922.6784358093,1.09532073738059,105,10.5,6,1,541.432192088154,2500,206.019982300492,74.6544420273995,NA,NA,2.37212408920095,"MC","westhoek"
"7",7,"urban",29858.6505677401,29858.8283455179,0.0439291930200957,9.682,0.000243017638279741,-14926.3252838701,1.09575791541752,8,0.8,3,2500,1,NA,NA,NA,NA,NA,3.20723435220134,"MC","westhoek"
"8",8,"opend.scrub.urban",29858.0818678034,29858.532995623,0.0461715578453263,10.423,0.00111588205105522,-14924.0409339017,1.09549392312025,27,2.7,5,0.999999999999545,346.254223287991,2500,46.7430808812483,NA,NA,NA,2.91188445730222,"MC","westhoek"
"9",9,"fixed.scrub",29858.4105069604,29858.7090144231,0.0376665956146912,10.511,0.000809461556286923,-14925.2052534802,1.0956189512944,12,1.2,4,230.56619775252,1,2500,NA,NA,NA,NA,3.08790325740119,"MC","westhoek"
"10",10,"scrub.beach",29858.6753776017,29858.9738850644,0.0372621619066769,10.789,0.00133753068438607,-14925.3376888008,1.09564234329203,19,1.9,4,1,309.05774639359,2500,NA,NA,NA,NA,3.35277389869952,"MC","westhoek"
"11",11,"fixed.scrub.beach",29858.7659830674,29859.2171108869,0.0297460409471187,12.211,0.00067094446331887,-14924.3829915337,1.09552715116003,7,0.7,5,8.66772311388286,1,98.0927926168051,2500,NA,NA,NA,3.59599972120122,"MC","westhoek"
"12",12,"opend.beach",29859.5328758716,29859.8313833343,0.0223207802376698,12.296,0.000240911912077477,-14925.7664379358,1.09568907880517,0,0,4,1.00000000001364,1,2500,NA,NA,NA,NA,4.21027216860239,"MC","westhoek"
