"","X","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k","Feature1","Feature2","DeltaAICc","cat_type","area"
"1",1,"Distance",29842.4282669742,29842.5165022683,0.495125679467613,1.1,0.000245171445869588,-14919.2141334871,1.09492895870748,901,90.1,2,NA,NA,0,"SC","westhoek"
"2",2,"beach",29844.4282669742,29844.606044752,0.1741714896272,2.626,0.000245171445156259,-14919.2141334871,1.0949289587073,0,0,3,1,2500,2.08954248369992,"SC","westhoek"
"3",3,"urban",29845.5853091266,29845.7630869043,0.114745513229125,3.376,0.000246711422516843,-14919.7926545633,1.09500034099748,15,1.5,3,2500,1,3.24658463599917,"SC","westhoek"
"4",4,"scrub",29847.0430051163,29847.2207828941,0.0691465512320341,4.368,0.00596144049723618,-14920.5215025581,1.09507611460468,5,0.5,3,1,2500,4.70428062579958,"SC","westhoek"
"5",5,"opend",29847.8042741687,29847.9820519465,0.0731491843414667,4.705,0.000135343741151228,-14920.9021370844,1.09512079873148,44,4.4,3,2500,1,5.46554967819975,"SC","westhoek"
"6",6,"fixed",29847.5738775247,29847.7516553025,0.0736615821025608,4.825,0.000735324124218215,-14920.7869387623,1.09516271913062,35,3.5,3,1,2500,5.23515303420209,"SC","westhoek"
"7",1,"Distance",1495.94460947438,1496.38905391883,0.313540066546408,1.363,0.000490339163537966,-745.97230473719,1.13909257263992,661,66.1,2,NA,NA,0,"SC","cabour"
"8",2,"agric",1496.4891828409,1497.41225976397,0.217018681249232,2.504,0.0272683285223403,-745.244591420448,1.13902290380978,312,31.2,3,1,2500,1.02320584513996,"SC","cabour"
"9",3,"opend",1497.84644332277,1498.76952024585,0.100458075654243,4.59,0.00175268870052459,-745.923221661386,1.1388707151616,15,1.5,3,1,2500,2.3804663270198,"SC","cabour"
"10",4,"fixed",1497.9046788101,1498.82775573318,0.096915443357985,4.774,0.000851006156948495,-745.952339405052,1.13894489306354,12,1.2,3,1,2500,2.43870181435,"SC","cabour"
"11",5,"water",1497.94480086282,1498.8678777859,0.0907848331158549,4.884,0.000490155239948777,-745.97240043141,1.13909291337348,0,0,3,1,2500,2.47882386706988,"SC","cabour"
"12",6,"scrub",1497.9479181404,1498.87099506348,0.0905854660527356,4.895,0.000491215651671813,-745.973959070202,1.13910015952787,0,0,3,1,2500,2.48194114464991,"SC","cabour"
"13",7,"urban",1497.94661579627,1498.86969271935,0.0906974340235419,4.99,0.000489959302452276,-745.973307898137,1.13909558434373,0,0,3,1,2500,2.48063880051996,"SC","cabour"
"14",1,"Distance",9930.20572510797,9930.36572510797,0.227302779896551,1.681,0.000176971864824449,-4963.10286255399,1.17487480441719,415,41.5,2,NA,NA,0.131776050569897,"SC","doornpanne"
"15",2,"fixed",9929.90962473307,9930.2339490574,0.273904216100126,1.947,0.000888188920232801,-4961.95481236654,1.1744330738186,447,44.7,3,2500,1,0,"SC","doornpanne"
"16",3,"opend",9931.66645142736,9931.99077575168,0.132220281707086,3.856,0.00134528244018796,-4962.83322571368,1.17476989496708,126,12.6,3,1,2500,1.75682669427988,"SC","doornpanne"
"17",4,"agric",9932.20572510797,9932.5300494323,0.0770242878467481,4.434,0.000176971864824449,-4963.10286255399,1.17487480441719,0,0,3,1,2500,2.29610037490056,"SC","doornpanne"
"18",5,"beach",9932.20572510797,9932.5300494323,0.0770242878467481,4.434,0.000176971864824449,-4963.10286255399,1.17487480441719,0,0,3,1,2500,2.29610037490056,"SC","doornpanne"
"19",6,"water",9932.22029835165,9932.54462267598,0.0765231198213584,4.877,0.000174537648392013,-4963.11014917583,1.17487791732423,0,0,3,1,2500,2.31067361858004,"SC","doornpanne"
"20",7,"urban",9932.69016828473,9933.01449260905,0.0726985221062288,5.479,0.000150970388319364,-4963.34508414236,1.17497647587276,12,1.2,3,1,2500,2.78054355165114,"SC","doornpanne"
"21",8,"scrub",9932.78180078678,9933.10612511111,0.0633025046751534,5.726,0.000129047454887129,-4963.39090039339,1.17500067303425,0,0,3,2500,1,2.87217605371006,"SC","doornpanne"
"22",1,"Distance",16499.7172652873,16499.8384774085,0.305957125776609,1.05,0.000102194154208989,-8247.85863264364,1.13023305152207,953,95.3,2,NA,NA,0,"SC","teryde"
"23",2,"water",16501.7172652873,16501.9621632465,0.105805453271965,4.263,0.000102194154208989,-8247.85863264364,1.13023305152207,0,0,3,1,2500,2.1236858379998,"SC","teryde"
"24",3,"beach",16501.7172652873,16501.9621632465,0.105805453271952,4.266,0.000102194153869115,-8247.85863264364,1.13023305152107,0,0,3,0.999999999999545,2500,2.1236858379998,"SC","teryde"
"25",4,"agric",16501.7172652873,16501.9621632465,0.105805453271963,4.283,0.000102194153909292,-8247.85863264364,1.13023305152162,0,0,3,1.00000000000045,2500,2.1236858379998,"SC","teryde"
"26",5,"fixed",16502.1422373579,16502.3871353171,0.0988496105785679,4.576,0.000500391541463552,-8248.07111867896,1.13029286452406,20,2,3,1,2500,2.54865790860276,"SC","teryde"
"27",6,"scrub",16502.0995240429,16502.3444220021,0.0984127743996013,4.956,0.000556826544046807,-8248.04976202145,1.13026685711595,20,2,3,1,2500,2.50594459360218,"SC","teryde"
"28",7,"opend",16502.103823188,16502.3487211472,0.0911331658021773,5.099,0.000111259863713587,-8248.05191159402,1.13027060054237,3,0.3,3,2500,1,2.5102437386995,"SC","teryde"
"29",8,"urban",16502.2590453435,16502.5039433027,0.0882309636271635,5.251,9.24337100370943e-05,-8248.12952267174,1.13027436593244,4,0.4,3,2500,1,2.6654658942025,"SC","teryde"
