"","X","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k","Feature1","Feature2","Feature3","Feature4","Feature5","Feature6","Feature7","DeltaAICc","cat_type","area"
"1",1,"urban",239704.769611242,239704.829611242,0.102215134881911,4.495,0.000102782767243369,-119849.384805621,1.03512892815718,326,32.6,3,2500,1,NA,NA,NA,NA,NA,0,"MC","westcoast"
"2",2,"Distance",239705.997759177,239706.027684364,0.0523543145004313,6.746,7.41175376690019e-06,-119850.998879589,1.03514888054142,180,18,2,NA,NA,NA,NA,NA,NA,NA,1.1980731220101,"MC","westcoast"
"3",3,"urban.water",239705.758259753,239705.858510379,0.0615698223365235,7.468,0.000146817618392558,-119848.879129876,1.03512144101033,94,9.4,4,2500,8.0808271217752,1,NA,NA,NA,NA,1.02889913701802,"MC","westcoast"
"4",4,"beach.scrub",239706.573841803,239706.674092429,0.0547739731841812,11.915,4.71981501710626e-05,-119849.286920901,1.03512623325616,136,13.6,4,775.716062566452,1,2500,NA,NA,NA,NA,1.84448118699947,"MC","westcoast"
"5",5,"urban.beach",239706.769709378,239706.869960004,0.0368466955384247,12.287,0.000102765722752697,-119849.384854689,1.03512892874482,0,0,4,2438.24980881456,1,2500,NA,NA,NA,NA,2.04034876200603,"MC","westcoast"
"6",6,"beach",239707.997759177,239708.057759177,0.0189726210747039,15.775,7.41175368692399e-06,-119850.998879589,1.03514888054125,0,0,3,1,2500,NA,NA,NA,NA,NA,3.22814793500584,"MC","westcoast"
"7",7,"water",239708.026199847,239708.086199847,0.0186794607146916,16.443,1.47548163553889e-05,-119851.013099923,1.0351488584442,0,0,3,1,2500,NA,NA,NA,NA,NA,3.25658860499971,"MC","westcoast"
"8",8,"fixed",239708.257440177,239708.317440177,0.0169415873279225,18.085,8.10411223011952e-06,-119851.128720089,1.0351505486837,0,0,3,2500,1,NA,NA,NA,NA,NA,3.48782893500174,"MC","westcoast"
"9",9,"agric",239708.330202122,239708.390202122,0.0163503573743529,18.721,6.40871570958894e-05,-119851.165101061,1.03514993492847,0,0,3,1,2500,NA,NA,NA,NA,NA,3.56059088002075,"MC","westcoast"
"10",10,"scrub",239708.338597766,239708.398597766,0.0179246919796479,18.997,9.75674971699333e-05,-119851.169298883,1.03515264417625,8,0.8,3,1,2500,NA,NA,NA,NA,NA,3.56898652401287,"MC","westcoast"
"11",11,"opend",239708.38983565,239708.44983565,0.0181467633080691,19.006,9.40948505285717e-05,-119851.194917825,1.03515004905785,10,1,3,1,2500,NA,NA,NA,NA,NA,3.62022440801957,"MC","westcoast"
"12",12,"urban.water.beach",239707.799429164,239707.950182933,0.0218466410590115,19.83,0.000149543715714528,-119848.899714582,1.03512173832357,0,0,5,663.988106314689,1,8.19343318721076,2500,NA,NA,NA,3.12057169101899,"MC","westcoast"
"13",13,"urban.agric.beach",239707.985019544,239708.135773313,0.0207620392283664,21.764,0.000147197185236648,-119848.992509772,1.03512325665971,0,0,5,2496.6868713279,1,952.809481498878,2500,NA,NA,NA,3.30616207100684,"MC","westcoast"
"14",14,"urban.agric.fixed",239707.760623984,239707.911377753,0.0474299454812773,23.451,0.000208127036635789,-119848.880311992,1.03512839879333,95,9.5,5,1,2500,83.2133089424515,246.345098616554,NA,NA,NA,3.08176651099348,"MC","westcoast"
"15",15,"water.beach.scrub",239708.412243644,239708.562997413,0.022223525690952,26.394,4.54143178224303e-05,-119849.206121822,1.03512515441936,0,0,5,721.278981295289,176.880244206719,1,2500,NA,NA,NA,3.73338617102127,"MC","westcoast"
"16",16,"agric.fixed",239708.995262619,239709.095513245,0.015883273781855,27.019,0.000260779961866013,-119850.497631309,1.03514416298616,17,1.7,4,1,596.301991040499,2500,NA,NA,NA,NA,4.26590200301143,"MC","westcoast"
"17",17,"urban.beach.opend",239708.780192809,239708.930946578,0.0119333526969964,27.87,8.21486990979545e-05,-119849.390096404,1.0351290376142,0,0,5,83.1491417966549,1,2500,62.8451081545804,NA,NA,NA,4.10133533601766,"MC","westcoast"
"18",18,"urban.fixed",239709.195534416,239709.295785042,0.0139315470259937,29.873,0.000127516771034485,-119850.597767208,1.03514698976655,10,1,4,1,2500,632.795002059555,NA,NA,NA,NA,4.46617379999952,"MC","westcoast"
"19",19,"urban.agric",239709.370400103,239709.47065073,0.0127528065143725,31.017,7.97979670796418e-05,-119850.685200052,1.03514893846356,11,1.1,4,1,2500,206.58872817972,NA,NA,NA,NA,4.64103948802222,"MC","westcoast"
"20",20,"agric.scrub.fixed",239709.179527467,239709.330281236,0.0170885590277656,31.753,0.000165222846647135,-119849.589763734,1.03513100018284,34,3.4,5,1,887.40318707445,726.681902826729,2500,NA,NA,NA,4.50066999401315,"MC","westcoast"
"21",21,"beach.fixed",239709.953410931,239710.053661558,0.00701769135819444,35.569,7.96232167602216e-06,-119850.976705466,1.03514864437477,0,0,4,2.64374270878943,2500,1,NA,NA,NA,NA,5.22405031599919,"MC","westcoast"
"22",22,"agric.beach",239709.959102158,239710.059352785,0.00693024183227179,35.645,7.84611600831452e-06,-119850.979551079,1.035148677689,0,0,4,1,8.69211770039146,2500,NA,NA,NA,NA,5.22974154300755,"MC","westcoast"
"23",23,"urban.fixed.opend",239709.395335706,239709.546089475,0.0164769014985865,35.906,6.58718841151594e-05,-119849.697667853,1.03513393773697,22,2.2,5,1,2500,533.474910312977,100.3752511387,NA,NA,NA,4.71647823302192,"MC","westcoast"
"24",24,"scrub.opend",239710.07697349,239710.177224116,0.00751361636997351,36.101,0.000120469737888609,-119851.038486745,1.0351483679243,1,0.1,4,1,2500,835.880261060989,NA,NA,NA,NA,5.34761287400033,"MC","westcoast"
"25",25,"water.beach",239709.994649535,239710.094900162,0.00684898965982123,36.284,7.42878846385142e-06,-119850.997324768,1.0351488607717,0,0,4,1,4.90019305152737,2500,NA,NA,NA,NA,5.26528891999624,"MC","westcoast"
"26",26,"beach.opend",239710.157620748,239710.257871375,0.00714745367673949,36.827,0.000111775861160633,-119851.078810374,1.03514875936762,0,0,4,1,2500,1392.50498125029,NA,NA,NA,NA,5.42826013301965,"MC","westcoast"
"27",27,"agric.fixed.opend",239709.678333332,239709.829087101,0.0133912132721577,36.909,0.000236084294910869,-119849.839166666,1.03513608090665,18,1.8,5,1,2500,1507.58467652752,925.400514033768,NA,NA,NA,4.99947585901828,"MC","westcoast"
"28",28,"fixed.opend",239710.202463874,239710.302714501,0.00718879072950962,38.378,8.41617788134152e-05,-119851.101231937,1.03514886238263,2,0.2,4,1,2500,2454.9139871245,NA,NA,NA,NA,5.47310325902072,"MC","westcoast"
"29",29,"water.scrub",239710.269970494,239710.370221121,0.00656309530785893,39.566,9.17228497316443e-05,-119851.134985247,1.03515219134965,0,0,4,1.21000039681121,1,2500,NA,NA,NA,NA,5.54060987901175,"MC","westcoast"
"30",30,"water.fixed",239710.254305934,239710.354556561,0.00611518817083875,39.737,8.1049331186051e-06,-119851.127152967,1.03515052580419,0,0,4,484.756424103572,2500,1,NA,NA,NA,NA,5.52494531901903,"MC","westcoast"
"31",31,"urban.opend",239710.383469644,239710.48372027,0.00655214338817259,40.136,9.41779992169512e-05,-119851.191734822,1.03515001096598,0,0,4,1,1.83886353190383,2500,NA,NA,NA,NA,5.6541090279934,"MC","westcoast"
"32",32,"agric.scrub",239710.31845511,239710.418705736,0.00650964981037824,40.385,9.94550594095274e-05,-119851.159227555,1.03515254876071,0,0,4,1,36.0573450042275,2500,NA,NA,NA,NA,5.5890944940038,"MC","westcoast"
"33",33,"water.opend",239710.390321525,239710.490572152,0.00654090164888481,40.598,9.40481555888909e-05,-119851.195160763,1.03515005264848,0,0,4,1,2.14138663695758,2500,NA,NA,NA,NA,5.66096090999781,"MC","westcoast"
"34",34,"agric.opend",239710.394263152,239710.494513778,0.00653091640099936,40.777,9.36430356694798e-05,-119851.197131576,1.03515008000791,0,0,4,1,54.8471504472664,2500,NA,NA,NA,NA,5.66490253599477,"MC","westcoast"
