"","X","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k","Feature1","Feature2","Feature3","Feature4","Feature5","Feature6","Feature7","DeltaAICc","cat_type","area"
"1",1,"urban",239650.681899257,239650.741899257,0.0972876270865417,4.829,0.000113279952152661,-119822.340949629,1.03485158028647,343,34.3,3,2500,1,NA,NA,NA,NA,NA,0,"MC","westcoast"
"2",2,"Distance",239652.134387708,239652.164312895,0.0494801547539643,8.43,8.29190277486269e-06,-119824.067193854,1.03487283810625,180,18,2,NA,NA,NA,NA,NA,NA,NA,1.42241363800713,"MC","westcoast"
"3",3,"water.urban",239651.733471348,239651.833721974,0.0572615162741544,8.515,0.000164862089660651,-119821.866735674,1.03484439342102,94,9.4,4,2500,1,2.479259627592,NA,NA,NA,NA,1.09182271698955,"MC","westcoast"
"4",4,"beach.urban",239652.681918189,239652.782168816,0.035075770204681,13.163,0.000113276504544603,-119822.340959095,1.03485158039623,0,0,4,2488.5434205779,2500,1,NA,NA,NA,NA,2.04026955898735,"MC","westcoast"
"5",5,"scrub.beach",239652.794924933,239652.89517556,0.0411409990905513,13.393,4.87139100847458e-05,-119822.397462467,1.03485075645178,93,9.3,4,770.975988090298,2500,1,NA,NA,NA,NA,2.15327630299726,"MC","westcoast"
"6",6,"opend.urban",239652.78630644,239652.886557066,0.032846765979582,13.789,0.00010672433157057,-119822.39315322,1.03485232360195,0,0,4,2500,1883.79993689291,1,NA,NA,NA,NA,2.14465780899627,"MC","westcoast"
"7",7,"beach.water",239653.007925107,239653.108175733,0.0355149098673648,14.869,4.84592635592543e-05,-119822.503962553,1.03485212306733,17,1.7,4,1515.04601305232,1,2500,NA,NA,NA,NA,2.36627647600835,"MC","westcoast"
"8",8,"beach.agric",239653.701406993,239653.80165762,0.0241324938009717,18.444,5.83100118835408e-05,-119822.850703497,1.03485709636752,29,2.9,4,67.2880314321933,1,2500,NA,NA,NA,NA,3.05975836300058,"MC","westcoast"
"9",9,"beach",239654.134387708,239654.194387708,0.0179310575607658,18.663,8.29190279550187e-06,-119824.067193854,1.03487283810625,0,0,3,1,2500,NA,NA,NA,NA,NA,3.45248845100286,"MC","westcoast"
"10",10,"water",239654.165816732,239654.225816732,0.0176006836356121,19.346,1.67212421641407e-05,-119824.082908366,1.03487281697973,0,0,3,1,2500,NA,NA,NA,NA,NA,3.48391747500864,"MC","westcoast"
"11",11,"beach.water.urban",239653.755711615,239653.906465384,0.0199746572807721,21.036,0.00016031532893365,-119821.877855808,1.03484455270504,0,0,5,508.784353375965,2500,1,1.00322962511746,NA,NA,NA,3.16456612700131,"MC","westcoast"
"12",12,"fixed",239654.463121886,239654.523121886,0.01529794780787,21.411,8.79900393719964e-06,-119824.231560943,1.03487494253479,0,0,3,2500,1,NA,NA,NA,NA,NA,3.78122262901161,"MC","westcoast"
"13",13,"opend.water.urban",239653.784387253,239653.935141021,0.0200512079666243,21.503,0.000162658192116522,-119821.892193626,1.03484477229606,0,0,5,2500,2396.04688935062,1,1.5376156565153,NA,NA,NA,3.19324176400551,"MC","westcoast"
"14",14,"agric",239654.48938732,239654.54938732,0.0151654195825279,21.871,7.23157171155706e-05,-119824.24469366,1.03487394701003,0,0,3,1,2500,NA,NA,NA,NA,NA,3.80748806300107,"MC","westcoast"
"15",15,"scrub",239654.55879115,239654.61879115,0.0169275746014574,22.227,0.000104947102024503,-119824.279395575,1.03487708036448,15,1.5,3,1,2500,NA,NA,NA,NA,NA,3.87689189298544,"MC","westcoast"
