"","area","surface","name","value","category","value.resc","category.focal"
"1","westhoek","urban.beach","Feature1",1,"all_else",-2499,"urban"
"2","westhoek","urban.beach","Feature2",2500,"urban",0,"urban"
"3","westhoek","urban.beach","Feature3",781.779525899043,"beach",-1718.22047410096,"urban"
"4","westhoek","urban.scrub","Feature1",1.005881220427,"all_else",0.00588122042700001,"urban"
"5","westhoek","urban.scrub","Feature2",1,"urban",0,"urban"
"6","westhoek","urban.scrub","Feature3",2500,"scrub",2499,"urban"
"7","westhoek","urban.fixed","Feature1",3.80994932491467,"all_else",-2496.19005067509,"urban"
"8","westhoek","urban.fixed","Feature2",2500,"urban",0,"urban"
"9","westhoek","urban.fixed","Feature3",1,"trees",-2499,"urban"
"10","westhoek","urban.opend","Feature1",1,"all_else",-2499,"urban"
"11","westhoek","urban.opend","Feature2",2500,"urban",0,"urban"
"12","westhoek","urban.opend","Feature3",33.0642337372633,"opend",-2466.93576626274,"urban"
"13","westhoek","urban.beach.scrub","Feature1",1,"all_else",-0.14823646136119,"urban"
"14","westhoek","urban.beach.scrub","Feature2",1.14823646136119,"urban",0,"urban"
"15","westhoek","urban.beach.scrub","Feature3",2500,"beach",2498.85176353864,"urban"
"16","westhoek","urban.beach.scrub","Feature4",172.431331684667,"scrub",171.283095223306,"urban"
"17","westhoek","urban.beach.fixed","Feature1",1,"all_else",-4.36388208418794,"urban"
"18","westhoek","urban.beach.fixed","Feature2",5.36388208418794,"urban",0,"urban"
"19","westhoek","urban.beach.fixed","Feature3",2500,"beach",2494.63611791581,"urban"
"20","westhoek","urban.beach.fixed","Feature4",1.00000050689914,"trees",-4.3638815772888,"urban"
"21","westhoek","urban.beach.opend","Feature1",1,"all_else",-0.2636334825811,"urban"
"22","westhoek","urban.beach.opend","Feature2",1.2636334825811,"urban",0,"urban"
"23","westhoek","urban.beach.opend","Feature3",2500,"beach",2498.73636651742,"urban"
"24","westhoek","urban.beach.opend","Feature4",1.00629631277343,"opend",-0.25733716980767,"urban"
"25","westhoek","urban.scrub.fixed","Feature1",1.33251026567041,"all_else",-2498.66748973433,"urban"
"26","westhoek","urban.scrub.fixed","Feature2",2500,"urban",0,"urban"
"27","westhoek","urban.scrub.fixed","Feature3",11.4427481857697,"scrub",-2488.55725181423,"urban"
"28","westhoek","urban.scrub.fixed","Feature4",1,"trees",-2499,"urban"
"29","westhoek","urban.scrub.opend","Feature1",1,"all_else",-45.7012052571677,"urban"
"30","westhoek","urban.scrub.opend","Feature2",46.7012052571677,"urban",0,"urban"
"31","westhoek","urban.scrub.opend","Feature3",2500,"scrub",2453.29879474283,"urban"
"32","westhoek","urban.scrub.opend","Feature4",345.72853953352,"opend",299.027334276352,"urban"
"33","westhoek","urban.fixed.opend","Feature1",1,"all_else",-39.7978325302001,"urban"
"34","westhoek","urban.fixed.opend","Feature2",40.7978325302001,"urban",0,"urban"
"35","westhoek","urban.fixed.opend","Feature3",2500,"trees",2459.2021674698,"urban"
"36","westhoek","urban.fixed.opend","Feature4",1257.64006158974,"opend",1216.84222905954,"urban"
"37","westhoek","urban.beach.scrub.fixed","Feature1",1.19811865354541,"all_else",-2498.80188134645,"urban"
"38","westhoek","urban.beach.scrub.fixed","Feature2",2500,"urban",0,"urban"
"39","westhoek","urban.beach.scrub.fixed","Feature3",1024.94191189154,"beach",-1475.05808810846,"urban"
"40","westhoek","urban.beach.scrub.fixed","Feature4",1,"scrub",-2499,"urban"
"41","westhoek","urban.beach.scrub.fixed","Feature5",1.04676151900321,"trees",-2498.953238481,"urban"
"42","westhoek","urban.beach.scrub.opend","Feature1",1,"all_else",-68.7899716737606,"urban"
"43","westhoek","urban.beach.scrub.opend","Feature2",69.7899716737606,"urban",0,"urban"
"44","westhoek","urban.beach.scrub.opend","Feature3",206.687026791632,"beach",136.897055117871,"urban"
"45","westhoek","urban.beach.scrub.opend","Feature4",2500,"scrub",2430.21002832624,"urban"
"46","westhoek","urban.beach.scrub.opend","Feature5",526.244654930101,"opend",456.45468325634,"urban"
"47","westhoek","urban.beach.fixed.opend","Feature1",1,"all_else",-51.5559385076822,"urban"
"48","westhoek","urban.beach.fixed.opend","Feature2",52.5559385076822,"urban",0,"urban"
