"","surface","name","value","category","value.resc","category.focal"
"1","opend.urban","Feature1",2500,"all_else",2499,"urban"
"2","opend.urban","Feature2",1883.79993689291,"opend",1882.79993689291,"urban"
"3","opend.urban","Feature3",1,"urban",0,"urban"
"4","fixed.urban","Feature1",1,"all_else",-2499,"urban"
"5","fixed.urban","Feature2",631.098405310418,"trees",-1868.90159468958,"urban"
"6","fixed.urban","Feature3",2500,"urban",0,"urban"
"7","scrub.urban","Feature1",1,"all_else",-2499,"urban"
"8","scrub.urban","Feature2",1036.38639049457,"scrub",-1463.61360950543,"urban"
"9","scrub.urban","Feature3",2500,"urban",0,"urban"
"10","beach.urban","Feature1",2488.5434205779,"all_else",2487.5434205779,"urban"
"11","beach.urban","Feature2",2500,"beach",2499,"urban"
"12","beach.urban","Feature3",1,"urban",0,"urban"
"13","agric.urban","Feature1",1,"all_else",-2499,"urban"
"14","agric.urban","Feature2",206.673941759736,"agric",-2293.32605824026,"urban"
"15","agric.urban","Feature3",2500,"urban",0,"urban"
"16","water.urban","Feature1",2500,"all_else",2497.52074037241,"urban"
"17","water.urban","Feature2",1,"water",-1.479259627592,"urban"
"18","water.urban","Feature3",2.479259627592,"urban",0,"urban"
"19","opend.fixed.urban","Feature1",1,"all_else",-2499,"urban"
"20","opend.fixed.urban","Feature2",100.583736987969,"opend",-2399.41626301203,"urban"
"21","opend.fixed.urban","Feature3",533.738811649206,"trees",-1966.26118835079,"urban"
"22","opend.fixed.urban","Feature4",2500,"urban",0,"urban"
"23","opend.scrub.urban","Feature1",1,"all_else",-2499,"urban"
"24","opend.scrub.urban","Feature2",1827.16712626915,"opend",-672.83287373085,"urban"
"25","opend.scrub.urban","Feature3",203.495091573499,"scrub",-2296.5049084265,"urban"
"26","opend.scrub.urban","Feature4",2500,"urban",0,"urban"
"27","opend.beach.urban","Feature1",1.03882388389411,"all_else",0.03882388389411,"urban"
"28","opend.beach.urban","Feature2",1751.79706462613,"opend",1750.79706462613,"urban"
"29","opend.beach.urban","Feature3",2500,"beach",2499,"urban"
"30","opend.beach.urban","Feature4",1,"urban",0,"urban"
"31","opend.agric.urban","Feature1",1,"all_else",-11.8639990779934,"urban"
"32","opend.agric.urban","Feature2",2500,"opend",2487.13600092201,"urban"
"33","opend.agric.urban","Feature3",76.2942938707802,"agric",63.4302947927868,"urban"
"34","opend.agric.urban","Feature4",12.8639990779934,"urban",0,"urban"
"35","opend.water.urban","Feature1",2500,"all_else",2498.46238434348,"urban"
"36","opend.water.urban","Feature2",2396.04688935062,"opend",2394.5092736941,"urban"
"37","opend.water.urban","Feature3",1,"water",-0.5376156565153,"urban"
"38","opend.water.urban","Feature4",1.5376156565153,"urban",0,"urban"
"39","fixed.scrub.urban","Feature1",1,"all_else",-37.4377919436397,"urban"
"40","fixed.scrub.urban","Feature2",2500,"trees",2461.56220805636,"urban"
"41","fixed.scrub.urban","Feature3",1467.23964628029,"scrub",1428.80185433665,"urban"
"42","fixed.scrub.urban","Feature4",38.4377919436397,"urban",0,"urban"
"43","fixed.beach.urban","Feature1",137.892729990402,"all_else",-2362.1072700096,"urban"
"44","fixed.beach.urban","Feature2",332.931090506208,"trees",-2167.06890949379,"urban"
"45","fixed.beach.urban","Feature3",1,"beach",-2499,"urban"
"46","fixed.beach.urban","Feature4",2500,"urban",0,"urban"
