"","Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","DeltaAIC","DeltaAICc","DeltaLL","Feature1","Feature2","Feature3","Feature4","Feature5","dunearea","Feature6","Feature7"
"1","Distance",-26631.6550375269,2,53267.3100750539,53267.3756488244,0.000211492777619874,0.603436440639212,-26631.6550375269,3.1880805391047,2.78438056660525,5.59404026950142,NA,NA,NA,NA,NA,"westhoek",NA,NA
"2","urban",-26631.7086330781,3,53271.2756883673,53271.4075564992,0.000204446248449221,0.603281519660863,-26632.6378441837,7.15369385250233,6.81628824140353,6.5768469263021,2500,1,NA,NA,NA,"westhoek",NA,NA
"3","Null",-26634.9897667238,1,53271.9795334475,53272.001272578,0,0.603377334397275,-26634.9897667238,7.85753893270157,7.41000432020519,8.92876946640172,NA,NA,NA,NA,NA,"westhoek",NA,NA
"4","beach",-26631.6550375269,3,53269.3100750539,53269.4419431858,0.000211492777619874,0.603436440639212,-26631.6550375269,5.1880805391047,4.85067492799863,5.59404026950142,1,2500,NA,NA,NA,"westhoek",NA,NA
"5","scrub",-26631.4666893236,3,53274.0535937293,53274.1854618612,0.00291800932220654,0.604484592824856,-26634.0267968647,9.9315992145057,9.59419360339962,7.96579960730014,1,2500,NA,NA,NA,"westhoek",NA,NA
"6","fixed",-26631.6550375303,3,53275.2452498721,53275.377118004,0.000222188713546665,0.602253814528955,-26634.6226249361,11.1232553573063,10.7858497462003,8.56162767870046,1,2500,NA,NA,NA,"westhoek",NA,NA
"7","opend",-26631.6550375269,3,53274.9376729401,53275.0695410719,8.33917182676207e-05,0.60341215772096,-26634.46883647,10.8156784253006,10.4782728140999,8.40783921260299,2500,1,NA,NA,NA,"westhoek",NA,NA
"8","urban.beach",-26631.9586629845,4,53271.9173259689,53272.138320444,0.000197970264909412,0.603450302711293,-26631.9586629845,7.79533145410096,7.54705218620074,5.89766572710141,1,2500,781.779525899043,NA,NA,"westhoek",NA,NA
"9","urban.scrub",-26631.466689827,4,53276.0423083309,53276.263302806,0.00292980903179378,0.604490266401548,-26634.0211541654,11.9203138161029,11.6720345482026,7.9601569080005,1.005881220427,1,2500,NA,NA,"westhoek",NA,NA
"10","urban.fixed",-26631.8315735901,4,53274.9501943102,53275.1711887853,0.000116854302914943,0.603343810912478,-26633.4750971551,10.8281997954036,10.5799205275034,7.41409989770182,3.80994932491467,2500,1,NA,NA,"westhoek",NA,NA
"11","urban.opend",-26631.6633017421,4,53276.9543953939,53277.1753898691,4.88148878175079e-05,0.603373138037794,-26634.477197697,12.8324008791024,12.584121611304,8.41620043960211,1,2500,33.0642337372633,NA,NA,"westhoek",NA,NA
"12","beach.scrub",-26630.8589874858,4,53269.7593268038,53269.9803212789,0.00077742741367481,0.603642966298441,-26630.8796634019,5.63733228900674,5.38905302109924,4.81866614450337,1,2500,219.259910960215,NA,NA,"westhoek",NA,NA
"13","beach.fixed",-26631.6550375269,4,53271.3100750539,53271.531069529,0.000211492794510284,0.603436409045818,-26631.655037527,7.1880805391047,6.93980127120449,5.59404026960328,1,2500,1.00000000001637,NA,NA,"westhoek",NA,NA
