"","Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","DeltaAIC","DeltaAICc","DeltaLL","Feature1","Feature2","Feature3","Feature4","Feature5","dunearea","Feature6","Feature7"
"1","Distance",-26631.655037527,2,53267.310075054,53267.3756488245,0.000211492777612144,0.603436440653669,-26631.655037527,3.30190787240281,2.89820789989608,5.6509539362014,NA,NA,NA,NA,NA,"westhoek",NA,NA
"2","Null",-26634.9897667238,1,53271.9795334476,53272.001272578,0,0.603377334391757,-26634.9897667238,7.97136626599968,7.52383165340143,8.98568313299984,NA,NA,NA,NA,NA,"westhoek",NA,NA
"3","opend",-26631.655047097,3,53274.93767294,53275.0695410719,8.33917182688999e-05,0.603412157714682,-26634.46883647,10.9295057584022,10.5921001472962,8.46475287920111,2500,1,NA,NA,NA,"westhoek",NA,NA
"4","fixed",-26631.6550375271,3,53272.708518325,53272.8403864569,0.000255642299935894,0.603672821584012,-26633.3542591625,8.70035114340135,8.36294553229527,7.35017557170067,2500,1,NA,NA,NA,"westhoek",NA,NA
"5","scrub",-26631.4666893259,3,53274.0535937292,53274.1854618611,0.00291800947347848,0.604484561248253,-26634.0267968646,10.0454265476001,9.70802093650127,8.02271327380004,1,2500,NA,NA,NA,"westhoek",NA,NA
"6","beach",-26631.655037527,3,53269.310075054,53269.4419431858,0.000211492777612144,0.603436440653669,-26631.655037527,5.30190787240281,4.96450226119487,5.6509539362014,1,2500,NA,NA,NA,"westhoek",NA,NA
"7","urban",-26631.6550375269,3,53271.2756883672,53271.4075564991,0.000204446266094718,0.603281486813632,-26632.6378441836,7.26752118559671,6.9301155744979,6.63376059279835,2500,1,NA,NA,NA,"westhoek",NA,NA
"8","Distance",-26631.6550375269,2,53267.3100750539,53267.3756488244,0.000211492777619874,0.603436440639212,-26631.6550375269,3.30190787230094,2.89820789980149,5.65095393609954,NA,NA,NA,NA,NA,"westhoek",NA,NA
"9","Null",-26634.9897667238,1,53271.9795334475,53272.001272578,0,0.603377334397275,-26634.9897667238,7.97136626589781,7.52383165340143,8.98568313299984,NA,NA,NA,NA,NA,"westhoek",NA,NA
"10","opend.fixed",-26634.4154620415,4,53276.8544256314,53277.0754201065,7.9358343842479e-05,0.602967034202629,-26634.4272128157,12.8462584497975,12.5979791818972,8.42312922489873,1,1240.00751001487,2500,NA,NA,"westhoek",NA,NA
"11","opend.scrub",-26629.654352802,4,53267.3185946682,53267.5395891433,0.00124694825599743,0.604091273746285,-26629.6592973341,3.3104274865982,3.06214821869798,3.6552137432991,1,450.546601862206,2500,NA,NA,"westhoek",NA,NA
"12","opend.beach",-26631.6550375269,4,53271.3100750539,53271.5310695291,0.000211492793942852,0.603436410106189,-26631.655037527,7.30190787230094,7.05362860449532,5.6509539362014,1.00000000001364,1,2500,NA,NA,"westhoek",NA,NA
"13","opend.urban",-26631.711927219,4,53277.8546920096,53278.0756864847,1.27623238421223e-05,0.603368199034197,-26634.9273460048,13.8465248279972,13.598245560097,8.9232624139986,1,115.424279090032,2500,NA,NA,"westhoek",NA,NA
"14","fixed.scrub",-26628.9904443099,4,53269.2255333485,53269.4465278236,0.000728309515206615,0.603867457965782,-26630.6127666742,5.21736616690032,4.9690868990001,4.60868308339923,230.56619775252,1,2500,NA,NA,"westhoek",NA,NA
"15","fixed.beach",-26631.6550375272,4,53271.3100750556,53271.5310695307,0.000211492794675967,0.603436408651527,-26631.6550375278,7.30190787399624,7.05362860609603,5.65095393699812,1,1.00000000117188,2500,NA,NA,"westhoek",NA,NA
"16","fixed.urban",-26631.876562928,4,53272.1773059628,53272.3983004379,0.000191115172419151,0.603450378585149,-26632.0886529814,8.16913878120249,7.920859513295,6.08456939060125,1,1.13162881964035,2500,NA,NA,"westhoek",NA,NA
"17","scrub.beach",-26630.8589875213,4,53269.8514915391,53270.0724860142,0.00119928596584194,0.603796227122454,-26630.9257457696,5.8433243574982,5.59504508959799,4.92166217880003,1,309.05774639359,2500,NA,NA,"westhoek",NA,NA
"18","scrub.urban",-26631.7523267389,4,53273.4928652245,53273.7138596996,0.000157136025167832,0.603507170027951,-26632.7464326122,9.48469804289925,9.23641877499904,6.7423490213987,1,13.9314646740099,2500,NA,NA,"westhoek",NA,NA
"19","beach.urban",-26631.9586629845,4,53271.9173259689,53272.138320444,0.000197970264909412,0.603450302711293,-26631.9586629845,7.9091587872972,7.66087951939699,5.95457939369953,1,2500,785.535672596694,NA,NA,"westhoek",NA,NA
"20","opend.fixed.scrub",-26628.0002191166,5,53265.8421425352,53266.1754758685,0.00116165622832889,0.604089579887716,-26627.9210712676,1.83397535359836,1.69803494389635,1.91698767679918,56.1041418813652,587.321047788669,1,2500,NA,"westhoek",NA,NA
"21","opend.fixed.beach",-26631.9096198946,5,53276.2984812272,53276.6318145606,0.000121488375290642,0.603291366584812,-26633.1492406136,12.2903140455965,12.1543736359963,7.14515702279823,1,1.95772833963201,5.21510379975462,2500,NA,"westhoek",NA,NA
"22","opend.fixed.urban",-26634.3933228699,5,53278.7922306994,53279.1255640327,8.1951554281966e-05,0.602994817493207,-26634.3961153497,14.7840635178,14.6481231080979,8.39203175889998,1,1257.60070944971,2500,38.6867353887474,NA,"westhoek",NA,NA
"23","opend.scrub.beach",-26627.4154954513,5,53264.8544616043,53265.1877949376,0.0016612751004157,0.6048641014235,-26627.4272308021,0.84629442269943,0.710354012997414,1.42314721129878,1,283.829949679044,1076.81590252824,2500,NA,"westhoek",NA,NA
"24","opend.scrub.urban",-26628.5135572739,5,53267.0259018241,53267.3592351574,0.00104052089800494,0.603741136530409,-26628.512950912,3.01773464249709,2.88179423279507,2.50886732120125,0.999999999999545,346.254223287991,2500,46.7430808812483,NA,"westhoek",NA,NA
"25","opend.beach.urban",-26631.9586684128,5,53273.9173387604,53274.2506720938,0.000197969908215864,0.603450305747032,-26631.9586693802,9.90917157880176,9.77323116920161,5.95458578940088,1.00000346188926,1,2500,1359.67552211101,NA,"westhoek",NA,NA
"26","fixed.scrub.beach",-26629.0576919206,5,53268.3383426648,53268.6716759982,0.000618172627689281,0.603743668236151,-26629.1691713324,4.33017548319913,4.19423507359897,3.16508774159956,8.66772311388286,1,98.0927926168051,2500,NA,"westhoek",NA,NA
"27","fixed.scrub.urban",-26632.5078962991,5,53275.0157925963,53275.3491259296,0.000189644188791671,0.60345323753972,-26632.5078962981,11.0076254146989,10.8716850049968,6.50381270729849,2.08196125719178,1,25.0863049791901,2500,NA,"westhoek",NA,NA
"28","fixed.beach.urban",-26631.6635962906,5,53273.3336137002,53273.6669470336,0.000210406877415742,0.603435209172542,-26631.6668068501,9.32544651859644,9.18950610899628,5.66272325929822,1.00871696024296,1,2500,1.07659675906052,NA,"westhoek",NA,NA
"29","scrub.beach.urban",-26631.986331777,5,53274.0689473981,53274.4022807314,0.000192963995799975,0.603448441191731,-26632.034473699,10.0607802164959,9.92483980680117,6.03039010820066,1,1.11987546258342,2500,2144.3817381599,NA,"westhoek",NA,NA
"30","opend.fixed.scrub.beach",-26627.4202653332,6,53266.8394810287,53267.3087547717,0.0015655007836194,0.604748101035325,-26627.4197405143,2.8313138470985,2.8313138470985,1.41565692349832,1,627.093188636827,8.41841532112994,2500,2494.36958357852,"westhoek",NA,NA
"31","opend.fixed.scrub.urban",-26628.4803816697,6,53268.9607633394,53269.4300370824,0.00104521505453976,0.603753589022824,-26628.4803816697,4.95259615779651,4.95259615779651,2.47629807889825,2.10130225020293,344.647415990683,1,2500,46.5481088520974,"westhoek",NA,NA
"32","opend.fixed.beach.urban",-26634.33961959,6,53280.6809972431,53281.1502709861,8.67402167017329e-05,0.603017569823069,-26634.3404986216,16.6728300614996,16.6728300614996,8.33641503080071,1,1365.97196709395,2500,2498.40437423061,52.3342021374747,"westhoek",NA,NA
"33","opend.scrub.beach.urban",-26626.0029024744,6,53264.0081671816,53264.4774409246,0.00150586080133383,0.604451170537781,-26626.0040835908,0,0,0,1,541.432192088154,2500,206.019982300492,74.6544420273995,"westhoek",NA,NA
"34","fixed.scrub.beach.urban",-26632.7007157239,6,53277.4550098922,53277.9242836352,0.000194970216049472,0.603462655117334,-26632.7275049461,13.4468427105967,13.4468427105967,6.72342135529834,2.72465557092801,1,22.793658600172,1389.90338124146,2500,"westhoek",NA,NA
"35","opend.fixed.scrub.beach.urban",-26632.2614142608,6,53276.8591347247,53277.3284084677,0.00017882809463261,0.603447514949035,-26632.4295673623,12.8509675430978,12.8509675430978,6.42548377149797,1.48394485232529,1,14.5398498513177,2500,24.644454649313,"westhoek",NA,NA
"36","Null",-1318.46737640583,1,2638.93475281166,2639.04001596956,0,0.60546061590262,-1318.46737640583,0,0,1.99209434748991,NA,NA,NA,NA,NA,"cabour",NA,NA
"37","Distance",-1318.45056356323,2,2640.90112712646,2641.22545145078,1.93321941908057e-05,0.605365323517857,-1318.45056356323,1.96637431479985,2.18543548121988,1.97528150488984,NA,NA,NA,NA,NA,"cabour",NA,NA
"38","opend",-1318.45541989965,3,2642.91083979237,2643.57750645904,3.92338889747195e-05,0.605483159312455,-1318.45541989619,3.97608698071008,4.53749048947975,1.98013783784995,1,2500,NA,NA,NA,"cabour",NA,NA
"39","fixed",-99999,3,2642.65925491182,2643.32592157849,0.000238255402382078,0.606581537772148,-1318.32962745591,3.72450210015995,4.28590560893008,1.85434539756989,1,2500,NA,NA,NA,"cabour",NA,NA
"40","scrub",-99999,3,2642.89508002905,2643.56174669571,2.2979361587341e-05,0.605348611808163,-1318.44754001452,3.96032721738993,4.52173072615005,1.97225795617987,1,2500,NA,NA,NA,"cabour",NA,NA
"41","agric",-99999,3,2641.13879512884,2641.80546179551,0.0118575261203164,0.599707408857069,-1317.56939756442,2.20404231717976,2.76544582594988,1.09411550607979,1,2500,NA,NA,NA,"cabour",NA,NA
"42","water",-99999,3,2642.90121429568,2643.56788096235,1.92825025257582e-05,0.605364930816466,-1318.45060714784,3.96646148401987,4.52786499279,1.97532508949985,1,2500,NA,NA,NA,"cabour",NA,NA
"43","urban",-99999,3,2642.90180850657,2643.56847517324,1.90035284996492e-05,0.605363130335081,-1318.45090425328,3.96705569490996,4.52845920368009,1.97562219493989,1,2500,NA,NA,NA,"cabour",NA,NA
"44","opend.fixed",-1318.45537379348,4,2644.91074751271,2646.05360465557,3.93275178138105e-05,0.605483221518542,-1318.45537375635,5.97599470104979,7.01358868600983,1.9800916980098,1,2500,1.13063895673849,NA,NA,"cabour",NA,NA
"45","opend.scrub",-1318.45539256987,4,2644.91078497487,2646.05364211772,3.9320129878055e-05,0.60548332342673,-1318.45539248743,5.97603216320977,7.0136261481598,1.98011042908979,1.00000000000045,2500,1.22512290345549,NA,NA,"cabour",NA,NA
"46","opend.agric",-1318.45542515922,4,2644.91085031844,2646.0537074613,3.92081988470681e-05,0.605483160778042,-1318.45542515922,5.97609750678021,7.01369149173979,1.98014310088001,1.01051609584283,2500,1,NA,NA,"cabour",NA,NA
"47","opend.water",-1318.45542650319,4,2644.910852997,2646.05371013985,3.92113924639958e-05,0.605483168451096,-1318.4554264985,5.97610018533987,7.01369417028991,1.98014444015985,1,2500,935.842923266104,NA,NA,"cabour",NA,NA
"48","opend.urban",-1318.45542226552,4,2644.91084157385,2646.05369871671,3.92306276646718e-05,0.605483162648338,-1318.45542078693,5.9760887621901,7.01368274715014,1.98013872858996,1,2500,1.01378230793625,NA,NA,"cabour",NA,NA
"49","fixed.scrub",-99999,4,2644.6460815245,2645.78893866736,0.000256859998976487,0.60653898433103,-1318.32304076225,5.71132871283999,6.74892269780003,1.8477587039099,1,2298.08647528571,2500,NA,NA,"cabour",NA,NA
"50","fixed.agric",-99999,4,2643.99218966921,2645.13504681207,0.00129128557361124,0.604516764581067,-1317.99609483461,5.05743685754987,6.09503084250991,1.52081277626985,1,1581.88108059087,2500,NA,NA,"cabour",NA,NA
"51","fixed.water",-99999,4,2644.65922218986,2645.80207933272,0.000238282716622956,0.606581536158626,-1318.32961109493,5.72446937819996,6.76206336316,1.85432903658989,1,2500,1850.67001094983,NA,NA,"cabour",NA,NA
"52","fixed.urban",-99999,4,2644.65780225931,2645.80065940217,0.000239472207716774,0.606583032011526,-1318.32890112966,5.72304944764983,6.76064343260987,1.85361907131983,1,2500,1098.86890604256,NA,NA,"cabour",NA,NA
"53","scrub.agric",-99999,4,2642.56236533371,2643.70522247657,0.00692041696419257,0.604110209118747,-1317.28118266686,3.62761252205019,4.66520650700977,0.805900608520005,1,2500,1999.02188648935,NA,NA,"cabour",NA,NA
"54","scrub.water",-99999,4,2644.89665801156,2646.03951515442,2.2167249123465e-05,0.60534733643615,-1318.44832900578,5.96190519989977,6.99949918485981,1.9730469474398,0.999999999999545,1966.11665923935,2500,NA,NA,"cabour",NA,NA
"55","scrub.urban",-99999,4,2644.42147812564,2645.5643352685,0.000442678329225257,0.604710201415714,-1318.21073906282,5.48672531398006,6.5243192989401,1.73545700447994,1,2500,1171.42295383052,NA,NA,"cabour",NA,NA
"56","agric.water",-99999,4,2641.14002143567,2642.28287857853,0.0173505111315065,0.6009428219671,-1316.57001071784,2.20526862400993,3.24286260896997,0.0947286594998786,1,2500,1500.70832635582,NA,NA,"cabour",NA,NA
"57","agric.urban",-99999,4,2643.84966790979,2644.99252505265,0.00213747599300807,0.602346558612018,-1317.9248339549,4.91491509812977,5.95250908308981,1.4495518965598,1,1989.4192936202,2500,NA,NA,"cabour",NA,NA
"58","water.urban",-99999,4,2644.9014034291,2646.04426057195,1.92403590368547e-05,0.605360041028613,-1318.45070171455,5.96665061743988,7.00424460238992,1.97541965620985,1,1912.467709545,2500,NA,NA,"cabour",NA,NA
"59","opend.fixed.scrub",-99999,5,2646.59921021584,2648.36391609819,0.000247899075953163,0.606611999166758,-1318.29960510792,7.66445740417976,9.32390012863016,1.82432304957979,1,1976.06609222931,2500,1714.5836717205,NA,"cabour",NA,NA
"60","opend.fixed.agric",-1318.45136818022,5,2646.90262168833,2648.66732757069,1.88495842016148e-05,0.605514547528159,-1318.45131084417,7.96786887666985,9.6273116011298,1.97602878582984,1,2500,219.081407592384,701.779148004112,NA,"cabour",NA,NA
"61","opend.fixed.water",-1318.45538473284,5,2646.91076519681,2648.67547107917,3.92969352692127e-05,0.605483166583842,-1318.45538259841,7.97601238515017,9.63545510961012,1.98010054007,1,2500,1.13267209330161,248.779531231566,NA,"cabour",NA,NA
"62","opend.fixed.urban",-99999,5,2646.62315799642,2648.38786387878,0.000197732173000017,0.6063541261228,-1318.31157899821,7.68840518476009,9.34784790922004,1.83629693986995,1,1368.56665129654,1420.42044470064,2500,NA,"cabour",NA,NA
"63","opend.scrub.agric",-99999,5,2644.69088444551,2646.45559032787,0.00526218750641605,0.60345977582168,-1317.34544222276,5.75613163385015,7.4155743583101,0.870160164419985,1,1234.11600457314,2500,2053.18604127603,NA,"cabour",NA,NA
