"","Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","DeltaAIC","DeltaAICc","DeltaLL","Feature1","Feature2","Feature3","Feature4","Feature5","Feature6","Feature7"
"1","urban",-212945.994532887,3,425897.989065774,425898.033925587,9.05557408663228e-05,0.651929117310078,-212945.994532887,0,0,1.59339396900032,2500,1,NA,NA,NA,NA,NA
"2","Null",-212949.837312611,1,425901.674625222,425901.682074012,0,0.651955813920255,-212949.837312611,3.68555944797117,3.64814842498163,5.4361736929859,NA,NA,NA,NA,NA,NA,NA
"3","Distance",-212948.935227506,2,425901.870455012,425901.892843072,4.90662987578504e-06,0.651929046405557,-212948.935227506,3.88138923799852,3.85891748499125,4.53408858799958,NA,NA,NA,NA,NA,NA,NA
"4","water",-212948.930840747,3,425903.902554637,425903.94741445,9.84876132543726e-06,0.651947100657877,-212948.951277319,5.91348886297783,5.91348886297783,4.550138400984,1,2500,NA,NA,NA,NA,NA
"5","agric",-212948.89633414,3,425904.406847549,425904.451707362,3.99352058710583e-05,0.652031106323069,-212949.203423774,6.41778177500237,6.41778177500237,4.80228485597763,1,2500,NA,NA,NA,NA,NA
"6","beach",-212948.935227506,3,425903.870455012,425903.915314825,4.90663164862162e-06,0.651928927422084,-212948.935227506,5.88138923799852,5.88138923799852,4.53408858799958,1,2500,NA,NA,NA,NA,NA
"7","scrub",-212948.926342773,3,425904.650594567,425904.69545438,5.04166015632371e-05,0.651795037327001,-212949.325297283,6.66152879298897,6.66152879298897,4.92415836500004,1,2500,NA,NA,NA,NA,NA
"8","fixed",-212948.901955269,3,425904.328996263,425904.373856076,4.87738599348589e-06,0.651928048179631,-212949.164498131,6.33993048896082,6.33993048896082,4.76335921298596,2500,1,NA,NA,NA,NA,NA
"9","opend",-212948.779740785,3,425904.433148412,425904.478008225,5.67569909043896e-05,0.652073239524499,-212949.216574206,6.44408263795776,6.44408263795776,4.8154352879792,1,2500,NA,NA,NA,NA,NA
"10","urban.water",-212945.018385499,4,425898.036696754,425898.111603121,0.000133236167512462,0.652026044557823,-212945.018348377,0.0476309799705632,0.0776775339618325,0.617209458985599,2500,8.0808271217752,1,NA,NA,NA,NA
"11","urban.agric",-212948.395613611,4,425905.249275206,425905.324181573,5.22503746290956e-05,0.651589810463665,-212948.624637603,7.26020943198819,7.29025598597946,4.22349868499441,1,2500,206.58872817972,NA,NA,NA,NA
"12","urban.beach",-212945.994624509,4,425899.989194864,425900.064101231,9.05409827264979e-05,0.651928998087158,-212945.994597432,2.00012908998178,2.03017564397305,1.59345851399121,2438.24980881456,1,2500,NA,NA,NA,NA
"13","urban.scrub",-99999,4,425907.319741573,425907.39464794,1.17188424733158e-05,0.651961685993259,-212949.659870787,9.33067579899216,9.36072235298343,5.25873186899116,1,2500,2277.09401447252,NA,NA,NA,NA
"14","urban.fixed",-212947.670604637,4,425905.028429179,425905.103335546,8.3117116007175e-05,0.651652591992546,-212948.51421459,7.03936340496875,7.06940995896002,4.11307567197946,1,2500,632.795002059555,NA,NA,NA,NA
"15","urban.opend",-212948.777242332,4,425906.423082753,425906.49798912,5.69448019912664e-05,0.652072987045545,-212949.211541376,8.43401697900845,8.46406353299972,4.81040245798067,1,1.83886353190383,2500,NA,NA,NA,NA
"16","water.agric",-212948.897079508,4,425906.426502565,425906.501408932,3.98767375602951e-05,0.65203123430549,-212949.213251283,8.43743679096224,8.46748334495351,4.81211236500531,1,16.4349013626984,2500,NA,NA,NA,NA
"17","water.beach",-212948.930840748,4,425905.864389709,425905.939296076,4.92415895042625e-06,0.65192893462349,-212948.932194854,7.87532393500442,7.90537048899569,4.53105593597866,1,4.90019305152737,2500,NA,NA,NA,NA
"18","water.scrub",-212948.926098157,4,425906.507881353,425906.58278772,5.09109213535142e-05,0.651793263710208,-212949.253940676,8.51881557900924,8.54886213300051,4.85280175798107,1.21000039681121,1,2500,NA,NA,NA,NA
"19","water.fixed",-212948.899673752,4,425906.323844322,425906.398750689,4.88395830564987e-06,0.651928286019689,-212949.161922161,8.33477854798548,8.36482510197675,4.76078324299306,484.756424103572,2500,1,NA,NA,NA,NA
"20","water.opend",-212948.780823308,4,425906.43402308,425906.508929447,5.67142748197974e-05,0.652073179169472,-212949.21701154,8.44495730596827,8.47500385995954,4.81587262198445,1,2.14138663695758,2500,NA,NA,NA,NA
"21","agric.beach",-212948.896334491,4,425905.792818335,425905.867724702,5.2888684838021e-06,0.65192585782498,-212948.896409167,7.80375256098341,7.83379911497468,4.49527024899726,1,8.69211770039146,2500,NA,NA,NA,NA
"22","agric.scrub",-212948.847981866,4,425906.616594514,425906.691500881,5.21739180193553e-05,0.651792378565033,-212949.308297257,8.6275287399767,8.65757529396797,4.90715833898867,1,36.0573450042275,2500,NA,NA,NA,NA
