"","Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","DeltaAIC","DeltaAICc","DeltaLL","Feature1","Feature2","Feature3","Feature4","Feature5","Feature6","Feature7"
"1","Null",-212949.837312611,1,425901.674625222,425901.682074012,0,0.651955813920255,-212949.837312611,3.6963046239689,3.6481484239921,5.43722282699309,NA,NA,NA,NA,NA,NA,NA
"2","Distance",-212948.935227506,2,425901.870455013,425901.892843072,4.90662987553372e-06,0.651929046422247,-212948.935227506,3.89213441498578,3.85891748400172,4.53513772200677,NA,NA,NA,NA,NA,NA,NA
"3","opend",-212948.779740785,3,425904.433148412,425904.478008225,5.67569909030923e-05,0.652073239537529,-212949.216574206,6.45482781395549,6.44408263696823,4.81648442198639,1,2500,NA,NA,NA,NA,NA
"4","fixed",-212948.901955285,3,425904.328996264,425904.373856077,4.87738599576283e-06,0.651928048028961,-212949.164498132,6.35067566600628,6.33993048901903,4.76440834801178,2500,1,NA,NA,NA,NA,NA
"5","scrub",-212948.926342773,3,425904.650594566,425904.695454379,5.04166015692368e-05,0.651795037302586,-212949.325297283,6.67227396799717,6.66152879100991,4.92520749900723,1,2500,NA,NA,NA,NA,NA
"6","beach",-212948.935227507,3,425903.870455013,425903.915314826,4.90662987458027e-06,0.651929046486208,-212948.935227507,5.89213441498578,5.88138923799852,4.5351377229963,1,2500,NA,NA,NA,NA,NA
"7","agric",-212948.896334151,3,425904.40684755,425904.451707363,3.99352058656652e-05,0.652031106380982,-212949.203423775,6.42852695198962,6.41778177500237,4.80333399100346,1,2500,NA,NA,NA,NA,NA
"8","water",-212948.930840747,3,425903.902554637,425903.94741445,9.84876489198789e-06,0.651946977428777,-212948.951277319,5.92423403897556,5.9134888619883,4.55118753499119,1,2500,NA,NA,NA,NA,NA
"9","urban",-212945.994532906,3,425897.989065774,425898.033925588,9.05557408671616e-05,0.6519291173069,-212945.994532887,0.0107451759977266,0,1.59444310300751,2500,1,NA,NA,NA,NA,NA
"10","opend.fixed",-212948.917000929,4,425906.164421349,425906.239327716,5.27670051916964e-05,0.652075276077107,-212949.082210675,8.18610075098695,8.20540212799096,4.68212089099688,1,2453.7014983484,2500,NA,NA,NA,NA
"11","opend.scrub",-212948.55197661,4,425905.785936076,425905.860842443,9.03013079837225e-05,0.652032715555639,-212948.892968038,7.80761547799921,7.82691685500322,4.49287825400825,1,835.886830778139,2500,NA,NA,NA,NA
"12","opend.beach",-212948.730541335,4,425905.968427882,425906.043334249,7.3395180550058e-05,0.652067284079324,-212948.984213941,7.99010728398571,8.00940866098972,4.5841241570015,1,1209.71677930125,2500,NA,NA,NA,NA
"13","opend.agric",-212948.776728187,4,425906.439789869,425906.514696237,5.64215994206788e-05,0.652072875849546,-212949.219894935,8.46146927098744,8.48077064898098,4.81980515099713,1,2500,55.5458998038471,NA,NA,NA,NA
"14","opend.water",-212948.779757193,4,425906.433160061,425906.508066428,5.6756370836161e-05,0.652073125093501,-212949.21658003,8.45483946299646,8.47414084000047,4.81649024601211,1,2500,1.02512569075316,NA,NA,NA,NA
"15","opend.urban",-212945.985830885,4,425900.182586649,425900.257493016,8.48636402489785e-05,0.651921335577908,-212946.091293324,2.20426605100511,2.22356742800912,1.69120353998733,2500,1883.79993689291,1,NA,NA,NA,NA
"16","fixed.scrub",-99999,4,425907.665994681,425907.740901048,2.17786081445059e-07,0.651952605156084,-212949.832997341,9.68767408299027,9.70697545999428,5.43290755699854,1,2500,2051.44696434503,NA,NA,NA,NA
"17","fixed.beach",-212948.901955303,4,425905.803910605,425905.878816972,5.30458764994584e-06,0.651925057121251,-212948.901955303,7.82559000700712,7.84489138401113,4.50186551900697,2.64443057937115,1,2500,NA,NA,NA,NA
"18","fixed.agric",-212947.823598526,4,425904.62976138,425904.704667747,0.000170315795294956,0.651871112641546,-212948.31488069,6.65144078200683,6.67074215901084,3.91479090601206,1,2500,596.286147880075,NA,NA,NA,NA
"19","fixed.water",-212948.899736678,4,425906.321632008,425906.396538375,4.88832616406622e-06,0.651928299514225,-212949.160816004,8.34331140998984,8.36261278699385,4.76072622000356,416.977307026153,1,2500,NA,NA,NA,NA
"20","fixed.urban",-212947.669728631,4,425905.025102979,425905.100009346,8.31520723096281e-05,0.651652549416853,-212948.512551489,7.04678238095948,7.0660837579635,4.11246170499362,1,631.098405310418,2500,NA,NA,NA,NA
"21","scrub.beach",-212945.980743324,4,425899.96148665,425900.036393017,4.0028931201145e-05,0.652027066244074,-212945.980743325,1.98316605197033,2.00246742897434,1.58065354099381,770.975988090298,2500,1,NA,NA,NA,NA
"22","scrub.agric",-212948.847981849,4,425906.616598617,425906.691504984,5.2173705886945e-05,0.651792372804798,-212949.308299309,8.63827801897423,8.65757939597825,4.90820952499053,1,2500,36.0682603772075,NA,NA,NA,NA
"23","scrub.water",-212948.926092775,4,425906.521856247,425906.596762614,5.09701741014771e-05,0.651793299095048,-212949.260928124,8.54353564896155,8.56283702596556,4.86083833998418,1.18722689258539,2500,1,NA,NA,NA,NA
"24","scrub.urban",-99999,4,425907.368716037,425907.443622404,9.54289242434588e-06,0.651947957221955,-212949.684358019,9.39039543899707,9.40969681600109,5.28426823500195,1,1036.38639049457,2500,NA,NA,NA,NA
"25","beach.agric",-212948.535109991,4,425901.59266922,425901.667575587,4.6068080796078e-05,0.651986761535511,-212946.79633461,3.61434862198075,3.63364999898477,2.39624482599902,67.2880314321933,1,2500,NA,NA,NA,NA
"26","beach.water",-212947.103579991,4,425900.330772716,425900.405679083,3.95988304318455e-05,0.65202700406528,-212946.165386358,2.35245211800793,2.37175349501194,1.76529657401261,1515.04601305232,1,2500,NA,NA,NA,NA
"27","beach.urban",-212945.994575154,4,425899.989089213,425900.06399558,9.05530528962747e-05,0.65192911624268,-212945.994544606,2.01076861500042,2.03006999200443,1.59445482198498,2488.5434205779,2500,1,NA,NA,NA,NA
"28","agric.water",-212948.886191463,4,425907.161476416,425907.236382783,2.75695177599364e-05,0.652032567176073,-212949.580738208,9.18315581796924,9.20245719497325,5.18064842399326,1,1103.37614016733,2500,NA,NA,NA,NA
"29","agric.urban",-212948.395579013,4,425905.250009746,425905.324916113,5.22279576968452e-05,0.651589834307799,-212948.625004873,7.27168914797949,7.2909905249835,4.22491508899839,1,206.673941759736,2500,NA,NA,NA,NA
